organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Total
p88Dp0k1GH3,Alum Beach Dispensary,13472,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,1,1,1,1,,,,1,,2,2,12
p7wCM1JfI5d,Aluor Mission Health Centre,13473,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,16,,,,,,1,17
wmUX4Xf6mHU,Alupe Sub County Referral Hospital,15795,"Situated along Busia-Malaba road,6 kms from Busia town",IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,,9,,,6,4,,7,,,,32
cjPwf2Grgo9,Alwalidayn Dispensary,22059,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,29,18,,32,31,22,29,,1,49,,,211
cPDS7MOxcm9,Amaase Dispensary,15797,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,,,,,,,1
LGPVNsrp6og,Amani Medical Clinic (Kilifi),11217,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,,,,,,,,,,,,6
QRZj3gcahYE,Ambira Sub-County Hospital,13476,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,,25,,3,7,4,2,4,11,58
dzlUVt1ajq1,Amoyo Dispensary,16768,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8,5,,4,,11,,,,,,,28
L9EJeHLBG1b,Amukura Health Centre,15798,Situated at Amukura market along Nambale-Malaba road about 0.5KM from Amukura junction,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16,8,1,1,,2,6,1,3,2,,,40
zVNsz4bH1Yw,Amukura Mission Health Centre,15799,"Situated along Amukura-Malaba road,next to St.Mary's Girls High School",IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,6,,,,,,,,,,,6
ps5w3QhjIM7,Amurt Health Centre,12870,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,,,,1
c5gNJhUz9rg,Andersen Medical Centre,14203,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,6,,1,4,,,,,,,11
lfs5qignpT4,Anding'o Opanga Dispensary,13477,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,2,,,10,,,,12
m7VVNB6yflG,Ang'iya Health Centre,13479,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,4,2,,,,3,,5,5,5,24
dWATcMI6XJL,Angaga Dispensary,17050,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,7,4,,4,,,,,,15
VRRLwQpnKfY,Angata Health Centre,14205,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,10,,4,,,,2,,,,,,16
allzILkIelH,Angurai Sub County Hospital,15800,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,2,5,2,,2,5,2,,,1,21,41
tmOunpxPDt9,AP Line Dispensary,15801,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,,10,15,4,5,1,3,6,,,,50
eGSDTRaBYvN,Aptc Health Centre,12871,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,7,1,,,1,,,2,1,3,15
Ssbkr9jzWWk,Archers Post Health Centre,14212,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,3,,3
kOFBpSMhe9h,Arito Langi Health Centre,13484,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,3,3,6
QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,11,2,4,4,,,7,28
c93Xc1VYJfv,Arroket Dispensary,14215,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,125,125
GiQGODA5NZB,Asat Beach Dispensary,13487,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,9,,9
uYsMyJiKEjP,Asayi Dispensary,16783,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,1,3,,,,5
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,6,,,,,,,6
FPGtNGfdSlZ,Asumbi Mission Hospital,13488,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12,9,8,,40,9,6,,,,,9,93
mubdg2NphtL,Atela Health Centre,18610,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,1,,,,,,,2
bxtsV3tmxZi,Atemo Health Centre,13489,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,4,,,,,,,,,,4
ISsRMwepdm7,Awasi Mission Health Center,13491,Health center,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,12,2,,2,,2,2,3,3,2,28
ZBtoRProc6e,Awendo Sub County Hospital,13492,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,2,1,,1,,,,1,,,5,12
CXAJP0JoCDZ,Baari Health Centre,10043,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,4,4,5,11,24
CzGqegvtcf5,Babadogo (EDARP),12875,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,18,8,2,10,11,18,5,12,11,10,8,3,116
obSn4iRC7wn,Babadogo Health Centre,12876,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,19,5,,,3,12,5,12,,,5,,61
hHFDDKwv5UN,Bahati Dispensary,14223,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,4,3,5,3,1,3,,2,21
cQa0PvCvbxM,Bahati District Hospital,14224,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,8,,8
emnI9dqORPt,Bahati Health Centre,12879,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14,15,,,,6,6,19,,,,,60
TZIZf95N8SM,Baldo Ippolita (Catholic) Health Centre,24270,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,2,,2
kZP86ulsOJr,Bama Hospital,13493,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,3,2,2,3,,2,,,,,7,23
hLMDMOsAv6Y,Bande Dispensary,13494,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,11,,,,,1,13
oYc9S0YvbLH,Banja Health Centre,15805,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,,,,,1,12,,,16
DqwooToZ1N9,Bar Achuth Dispensary,13495,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,3,3,,3,3,1,,,,3,17
DrkmmYfcr91,Bar Hostess Empowerment Support Program (Roysambu),23200,Situated off Thika Superhighway along Kamiti Rd-Roysambu,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,14,,16,6,2,9,,16,18,2,3,86
lq9mb305HDu,Bar Korwa Health Centre,13498,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,7,,,,7
ZL7FkyG3uwc,Bar Sauri Health Centre,16785,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,6,3,,,,,,1,,,2,14
gFZWGPYDPW5,Baragoi Sub County Hospital,14228,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,2,2,1,,7
wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,2,,2
jetCZf5Uzd1,Barding Dispensary,18396,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,3,,,,,,,,,,,7
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14,5,,14,18,8,13,18,15,8,13,15,141
redd34wc4hO,Beggs Nursing Home (Matunda),18626,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,6,,,,,,6
YjzBFHmaVTv,Benga Dispensary,16786,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,2,,,,1,,,,,7,10
oyMHYuegTO3,Beta Care Nursing Home,10058,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,,7,,,,9
BkuM8mXYCXs,BHESP Kariobangi North Wellness Centre,29292,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
QdXBJMDuLh5,BHESP MOWLEM DICE CLINIC,22863,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,675,688,,776,786,,,9,,,,,2934
vUIa955kXzn,Bidii Health Centre,18532,A newly constructed facility,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,,,,,,,,,,,,5
yk52nyJ5L27,Bikeke Health Centre,16361,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,,,2
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,6,,3,4,4,4,4,4,5,1,,35
pDCYtQMYzkW,Bissil Health Centre,14259,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,5,20,,,,,,25
aZCS6UZRpdL,Bitare Dispensary,13502,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,5,,,,,,,,,,5
z3iVrJLrSQo,Bogwendo Health Centre,13504,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,,,,,,,1
dZ06ZU1Ls42,Bokimai Dispensary,16974,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
L7s7lF6nv95,Bokoli Hospital,15808,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,28,,3,3,1,,1,3,,,,39
J92hsLeBV21,Bomet Health Centre,14261,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,159,,,,,159
V0KORzfRrmj,Bomu Medical Center -Old Town,27408,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,10,,2,,,16,,28
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,18,97,57,80,83,141,476
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,24,1,,,,,26,13,18,30,15,20,147
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,53,11,12,80,47,60,36,51,59,120,63,81,673
k2bd5BmXP2t,Bonde Dispensary,13506,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,1,2,1,,2,2,,2,1,,,13
BxIp7V5DU9D,Bondeni Sub County Hospital,14265,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,2,2
Z6fKUbscAbZ,Bondo County Referral Hospital,13507,level 4 facility in Maranda division. Is the Sub County reffaral Hospital,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,12,,,,,,,,,12
xHviPII2Tc3,Boro Dispensary,13513,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,3,11,4,,,,,,1,1,20
Yk6aPsR7nng,Boyani Dispensary,15809,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,,,,2
nsF2xje8PQl,Bridging Out-Patient,19405,"Thika road off kamiti road , kahawa west market opp",IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,13,,,,,,,13
X43Tf1LIRXh,Brother Andre Medial Centre,12887,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,3,,,,,,,,4
Y1wbtycY0V8,Budalangi Dispensary,15811,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,31,25,,4,2,,1,,5,,68
LFwsHgAoh20,Bugamangi Dispensary,15814,off vihiga police-magui road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,3,,,3
gkvsBoZvbH1,Bugina Health Centre,15815,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,4,,,,5,12,4,,,,1,30
OQUMus9IsA1,Bugumbe Health Centre,13517,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,5,,,,,5
ndBnE6yUjoy,Bukaya Health Centre,15817,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,7,2,2,,3,,,1,,1,,16
lSB8vsporuH,Bukembe Dispensary,15819,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,44,,5,7,6,,,,,,,62
tlqVHieBeZo,Bulwani Dispensary,15822,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,1,,,,,,,,2
aMTxgqDmizK,Bumala A Health Centre,15823,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,2,,,6,1,5,,,1,,15
nuEpF1eboYN,Bumala B Health Centre,15824,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,5,4,4,1,3,11,4,4,37
Gci6fQrejup,Bumula Sub County Hospital,15825,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,10,2,,,,,,,3,,,16
OaksTvWzoaf,Bunde Health Centre,13518,Dispensary,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,,,,2
wXYxrsjOc8d,Bungasi Health Centre,15827,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,2,2,3,,,1,4,2,4,2,21
WDJtmgLjGD8,Bungoma County Referral Hospital,15828,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,13,5,55,30,12,13,18,67,128,76,45,462
yBe7688zcRt,Bura Mission Clinic,11265,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,,,1
bmKQdaXNX9E,Burinda Dispensary,15830,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,2,1,3
g73LYiD5P06,Burnt Forest Sub County Hospital,16347,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,3,6,29,,2,9,7,5,14,113,188
ih3vU3AXadk,Busembe Dispensary,15831,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,13,,,,,13
dI28kasf8Jj,Bushiri Health Centre,15833,health centre,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,7,1,2,2,4,1,7,1,1,3,29
XsRFIn0FhzA,Busia County Referral Hospital,15834,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,232,220,205,,226,233,251,237,221,221,217,228,2491
rd0gE7FLPsv,Busibwabo Dispensary,15835,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,,,,,,,,,,,3
OVV0fHS7fux,Butere Sub County Hospital,15836,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,1,,,3,1,,,3,3,,2,14
yFrzItHccVH,Butula Mission Health Centre,15838,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,,6,1,,,,,,,1,11
HGLQF59nCsF,Bwagamoyo Dispensary,11266,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
Ch9QLIX4Lv4,Cana Family Life Clinic,12889,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,6,,,1,3,,1,4,,1,,17
T5sPlPfblxx,Cardinal Otunga Health Centre,10019,Faith based organization,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,4,1,,,1,6
ZeHU0vtmrVW,Chaani Catholic Dispensary,23285,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,10,,2,3,5,3,2,,6,9,13,53
RUBAdXhzucO,Chamuka (CDF) Dispensary,18782,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,,,,1,,,,,4,7
CckiDj0RzXx,Chandaria Health Centre,12893,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,10,,,,10
ZCo6FKCwUZq,Changara GK Health Centre,16421,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,4,,,,1,,,9,12,26
Va4NxnOtD4e,Chebangang Health Centre,14289,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,2,6,,11,,5,1,25
OpoaPaPsSWF,Chebororwa Health Centre,14301,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,4,,,,,,,4
Ci1bld843vy,Chekalini Health Centre,15851,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,4,1,3,9,1,,,2,20
DBQxofmfEkm,Chemundu Dispensary,14324,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,43,2,,,,,,48
w2kedceJwpf,Chepareria Sub County Hospital,14330,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,,4,,,2,8
atDYGSWmahs,Chepchabas Dispensary,14331,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,,,,,,,,,,1
hmwxjORtUnv,Chepkanga Health Centre,14335,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,28,26,30,30,31,36,57,73,80,79,86,99,655
acAHfxFgxVa,Chepkigen Health Centre,14341,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,12,32,45,50,42,38,59,47,32,66,426
u2vTqS5F2Fy,Chepkorio Health Centre,14346,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
UvPHBmZnKIu,Chepsaita Dispensary,14358,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,20,19,18,57
qCpPJL5V2m1,Cheptais Sub County Hospital,15855,moh,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,8,6,2,,,16
ULWedqfO8cB,Cheptalal Sub County Hospital,14366,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,,,,,1
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,14369,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,42,,,,,,,,,,,42
LSnAhT2jkD7,Cheptongei Health Centre,14373,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,,,,,,,1
tI2BjAPrXQZ,Cheramei Dispensary,14377,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,41,42,45,,,,7,71,77,15,68,70,436
xmCIA3BSudt,Cherangany Sub County Hospital,14379,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,2,2,10,3,,,1,,18
hMaHmkhsdOy,Chesoi Sub County Hospital,14385,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
mfEvntdmjUe,Chevoso Dispensary,15857,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,5,,,,,2,7
lwUfSBkSOE0,Chiakariga Health Centre,11969,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,2,,2,,,,,,1,3,8
cMV2EgW6Tza,Chief Milimu Dispensary,16144,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
qNO02IGD3yn,Chiga Dispensary,13524,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,4,,,,2,,,2,2,3,6,22
kUsA28Yefik,Child Doctor Kenya,19504,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,,,,7,,1,,,,,,12
kVVmxGZKCfA,Chinato Health Centre,13526,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,1,,2,,9,5,3,,,1,24
r9Nw0PyLOZD,Christian Community Services Wang'uru Health Centre,10093,Ngurabani town,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,17,17,16,,16,,18,,84
BfvRU0y4Lor,CHS Kitui Central Dice,20448,Within Kitui District Hospital,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,1,1,,,2,2,1,2,1,,3,14
AhuFQlj25k0,Chs Makindu Dice,19890,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,4,,,,,4,2,,11
OXqeMIqNOUe,CHS Mlolongo Dice,25229,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,,,,,,,1
gFkev50QJCf,CHS Mwingi Central Dice,20203,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,9,9,,5,6,4,2,6,6,47
sD0C4mSXA4H,Chuka County Refferal Hospital,11973,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
SZ5jx60nzdK,Chuka Dice,19882,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,,15,18,,7,,4,47
aRWvqnCMOEN,Chulaimbo County Hospital,13528,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,66,,,,,8,,6,,,80
PjJrujKwMvY,Chuthber Dispensary,13530,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,4,,,1,,,5
qZCaWe683G3,Chwele Sub County Hospital,15860,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,12,6,10,8,,,10,,,1,27,74
qlNkkxCbBOY,Cianda Dispensary,10097,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,,,,1
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,11289,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,,,,,,,1
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,30,32,,,,2,,,64
amP1kWytNm2,Consolata Kyeni Hospital,12413,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,4,1,1,,,,1,,10,,17
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,2,,2,5
