orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Total
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,2
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,1
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,3
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,20
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,8
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,2
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,LC2OqnUC5Sn,MOH 731 Start ART_10-14(M) HV03-018,Y18_HV03-018,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,17
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,9
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,1
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,25
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,18
Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Administration Police Senior Staff College Dispensary,byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,3
Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Administration Police Senior Staff College Dispensary,byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,4
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,3
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,NHIF building,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,1
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,NHIF building,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,2
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,NHIF building,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,3
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,Aga Khan Hospital,czNciMCk3z5,Aga Khan Hospital,12867,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,3
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,Aga Khan Hospital,czNciMCk3z5,Aga Khan Hospital,12867,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,32
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,Aga Khan Hospital,czNciMCk3z5,Aga Khan Hospital,12867,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,26
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,yWkSi8L3qGm,MOH 731 Start ART_15-19(M) HV03-020,Y18_HV03-020,1
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,8
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,5
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,1
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,5
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,3
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,2
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,1
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,4
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,5
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,1
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,5
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,14
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,9
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,2
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,8
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,3
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,yWkSi8L3qGm,MOH 731 Start ART_15-19(M) HV03-020,Y18_HV03-020,1
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,24
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,7
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,76
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,47
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,jthpt5cVV9c,MOH 731 Start ART_10-14 (F) HV03-019,Y18_HV03-019,1
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,8
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,6
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,3
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,1
Kenya,Isiolo County,Isiolo Sub County,Wabera Ward,AIC Dispensary (Isiolo),W5tfdo7JoJL,AIC Dispensary (Isiolo),12093,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Isiolo County,Isiolo Sub County,Wabera Ward,AIC Dispensary (Isiolo),W5tfdo7JoJL,AIC Dispensary (Isiolo),12093,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,1
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,5
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,LC2OqnUC5Sn,MOH 731 Start ART_10-14(M) HV03-018,Y18_HV03-018,1
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,6
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,2
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,43
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,29
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,yWkSi8L3qGm,MOH 731 Start ART_15-19(M) HV03-020,Y18_HV03-020,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,3
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,5
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,26
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,30
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Aimo Dispensary,XCngdtEEkGl,Aimo Dispensary,22860,DISPENSARY,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Meru County,Tigania West Sub County,Nkomo Ward,Aina Dispensary,QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Meru County,Tigania West Sub County,Nkomo Ward,Aina Dispensary,QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Meru County,Tigania West Sub County,Nkomo Ward,Aina Dispensary,QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,23
Kenya,Meru County,Tigania West Sub County,Nkomo Ward,Aina Dispensary,QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,4
Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,Ainamoi Health Centre,Q4h7yLoLe0G,Ainamoi Health Centre,14192,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,Ainamoi Health Centre,Q4h7yLoLe0G,Ainamoi Health Centre,14192,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,1
Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,Ainamoi Health Centre,Q4h7yLoLe0G,Ainamoi Health Centre,14192,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,18
Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,Ainamoi Health Centre,Q4h7yLoLe0G,Ainamoi Health Centre,14192,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,2
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,1
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,6
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,2
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,6
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,1
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,34
Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,8
Kenya,Kajiado County,Kajiado West Sub County,Keekonyokie Ward,Ajam Mission Health Centre,KuftRocWEh1,Ajam Mission Health Centre,18398,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,1
