orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,datacode,Total
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5
Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,AAR Eldoret,mhLjHezhoVN,AAR Eldoret,18178,wu0ITFRjUzF,MOH 731 Positive_10-14(F) HV01-09,Y22_HV01-09,1
Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,AAR Eldoret,mhLjHezhoVN,AAR Eldoret,18178,kLXGWRLzCAw,MOH 731 Positive_15-19(M) HV01-10,Y22_HV01-10,1
Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,AAR Eldoret,mhLjHezhoVN,AAR Eldoret,18178,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,AAR Gwh Health Care Ltd,qvdl9OTOMxX,AAR Gwh Health Care Ltd,19958,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,3
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,AAR Health care-Kisumu,VeDu9Olup41,AAR Health care-Kisumu,20956,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,AAR Healthcare Services Syokimau Outpatient Centre,DyPPciUocVr,AAR Healthcare Services Syokimau Outpatient Centre,25948,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Muranga County,Kigumo Sub County,Kangari Ward,Aberdare Medical Centre Ltd,NQPKyCdIa8Z,Aberdare Medical Centre Ltd,21416,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,3
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,2
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,18
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,tpmeDcmWQWf,Aboloi Dispensary,15789,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Kisumu County,Nyando Sub County,Kobura Ward,Absalom Wangulu Dispensary,NS2k3fejJUx,Absalom Wangulu Dispensary,20524,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Kisumu County,Nyando Sub County,Kobura Ward,Absalom Wangulu Dispensary,NS2k3fejJUx,Absalom Wangulu Dispensary,20524,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Makadara Sub County,Viwandani Ward,Access Afya Medical Centre,TO9gCp6gDUv,Access Afya Medical Centre,21158,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,4
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,12
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,wu0ITFRjUzF,MOH 731 Positive_10-14(F) HV01-09,Y22_HV01-09,1
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,2
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,17
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,8
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nyandarua County,Olkalou Sub County,Rurii Ward,ACK Dispensary (Rurii),vmGyHazfngO,ACK Dispensary (Rurii),10979,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2
Kenya,Wajir County,Wajir West Sub County,Ademasajide Ward,Ademasajida Dispensary,Ya8HkTriZCR,Ademasajida Dispensary,13267,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,wu0ITFRjUzF,MOH 731 Positive_10-14(F) HV01-09,Y22_HV01-09,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,19
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,7
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,16
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,15
Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Administration Police Senior Staff College Dispensary,byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3
Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Administration Police Senior Staff College Dispensary,byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Kiambu County,Kiambaa Sub County,Ndenderu Ward,Adonai Medical Services,jU8suPCXwEX,Adonai Medical Services,22344,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Kiambu County,Kiambaa Sub County,Ndenderu Ward,Adonai Medical Services,jU8suPCXwEX,Adonai Medical Services,22344,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,3
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,3
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,2
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,7
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Adventist Centre for Care and Support,ZjnMNXqHnuD,Adventist Centre for Care and Support,18535,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Africa Inuka Hospital,Dp01W92uqkK,Africa Inuka Hospital,25539,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Africa Inuka Hospital,Dp01W92uqkK,Africa Inuka Hospital,25539,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Africare Ltd NHIF clinic,FTVmVryLXiE,Africare Ltd NHIF clinic,22866,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,3
Kenya,Kwale County,Lunga Lunga Sub County,Vanga Ward,Afya Bora clinic,q30Yo5l21vq,Afya Bora clinic,,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Kwale County,Lunga Lunga Sub County,Vanga Ward,Afya Bora clinic,q30Yo5l21vq,Afya Bora clinic,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Kwale County,Lunga Lunga Sub County,Vanga Ward,Afya Bora clinic,q30Yo5l21vq,Afya Bora clinic,,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Kirinyaga County,Kirinyaga South Sub County,Tebere Ward,Afya Link Medical Centre,qG23wKJUT5W,Afya Link Medical Centre,22887,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Kiambu County,Ruiru Sub County,Mwihoko Ward,Afyastar Medical Clinic,zyB0ZAySK90,Afyastar Medical Clinic,18552,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,kLXGWRLzCAw,MOH 731 Positive_15-19(M) HV01-10,Y22_HV01-10,1
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,14
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,6
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,1
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,kLXGWRLzCAw,MOH 731 Positive_15-19(M) HV01-10,Y22_HV01-10,1
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,3
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,20
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,10
Kenya,Busia County,Matayos Sub County,Burumba Ward,Agakhan Medical Centre-Busia,yhxPoUsPeY9,Agakhan Medical Centre-Busia,22053,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Busia County,Matayos Sub County,Burumba Ward,Agakhan Medical Centre-Busia,yhxPoUsPeY9,Agakhan Medical Centre-Busia,22053,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,2
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,6
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,1
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,5
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,15
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,8
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,wu0ITFRjUzF,MOH 731 Positive_10-14(F) HV01-09,Y22_HV01-09,1
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,4
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,kLXGWRLzCAw,MOH 731 Positive_15-19(M) HV01-10,Y22_HV01-10,1
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,19
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,79
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,61
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,1
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,6
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3
Kenya,Isiolo County,Isiolo Sub County,Wabera Ward,AIC Dispensary (Isiolo),W5tfdo7JoJL,AIC Dispensary (Isiolo),12093,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,5
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,2
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,5
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,49
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,25
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,kLXGWRLzCAw,MOH 731 Positive_15-19(M) HV01-10,Y22_HV01-10,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,4
