organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,datacode,Total
dzlUVt1ajq1,Amoyo Dispensary,16768,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,28
L9EJeHLBG1b,Amukura Health Centre,15798,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,40
zVNsz4bH1Yw,Amukura Mission Health Centre,15799,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
ps5w3QhjIM7,Amurt Health Centre,12870,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
c5gNJhUz9rg,Andersen Medical Centre,14203,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11
lfs5qignpT4,Anding'o Opanga Dispensary,13477,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
m7VVNB6yflG,Ang'iya Health Centre,13479,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,24
dWATcMI6XJL,Angaga Dispensary,17050,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,15
VRRLwQpnKfY,Angata Health Centre,14205,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16
allzILkIelH,Angurai Sub County Hospital,15800,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,41
tmOunpxPDt9,AP Line Dispensary,15801,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,50
eGSDTRaBYvN,Aptc Health Centre,12871,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,15
Ssbkr9jzWWk,Archers Post Health Centre,14212,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
kOFBpSMhe9h,Arito Langi Health Centre,13484,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
QiXeOXMmlX0,Arombe Dispensary,13486,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,28
c93Xc1VYJfv,Arroket Dispensary,14215,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,125
GiQGODA5NZB,Asat Beach Dispensary,13487,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,9
uYsMyJiKEjP,Asayi Dispensary,16783,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
FPGtNGfdSlZ,Asumbi Mission Hospital,13488,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,93
mubdg2NphtL,Atela Health Centre,18610,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
bxtsV3tmxZi,Atemo Health Centre,13489,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
ISsRMwepdm7,Awasi Mission Health Center,13491,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,28
ZBtoRProc6e,Awendo Sub County Hospital,13492,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
CXAJP0JoCDZ,Baari Health Centre,10043,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,24
CzGqegvtcf5,Babadogo (EDARP),12875,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,116
obSn4iRC7wn,Babadogo Health Centre,12876,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,61
hHFDDKwv5UN,Bahati Dispensary,14223,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,21
cQa0PvCvbxM,Bahati District Hospital,14224,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8
emnI9dqORPt,Bahati Health Centre,12879,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,60
TZIZf95N8SM,Baldo Ippolita (Catholic) Health Centre,24270,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
kZP86ulsOJr,Bama Hospital,13493,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,23
hLMDMOsAv6Y,Bande Dispensary,13494,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,13
oYc9S0YvbLH,Banja Health Centre,15805,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16
DqwooToZ1N9,Bar Achuth Dispensary,13495,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
DrkmmYfcr91,Bar Hostess Empowerment Support Program (Roysambu),23200,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,86
lq9mb305HDu,Bar Korwa Health Centre,13498,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
ZL7FkyG3uwc,Bar Sauri Health Centre,16785,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14
gFZWGPYDPW5,Baragoi Sub County Hospital,14228,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
wZUrNTrCEWz,Baragu Health Centre,11942,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
jetCZf5Uzd1,Barding Dispensary,18396,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,141
redd34wc4hO,Beggs Nursing Home (Matunda),18626,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
YjzBFHmaVTv,Benga Dispensary,16786,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,10
oyMHYuegTO3,Beta Care Nursing Home,10058,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,9
BkuM8mXYCXs,BHESP Kariobangi North Wellness Centre,29292,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
QdXBJMDuLh5,BHESP MOWLEM DICE CLINIC,22863,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2934
vUIa955kXzn,Bidii Health Centre,18532,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
yk52nyJ5L27,Bikeke Health Centre,16361,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,35
pDCYtQMYzkW,Bissil Health Centre,14259,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,25
aZCS6UZRpdL,Bitare Dispensary,13502,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
z3iVrJLrSQo,Bogwendo Health Centre,13504,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
dZ06ZU1Ls42,Bokimai Dispensary,16974,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
L7s7lF6nv95,Bokoli Hospital,15808,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,39
J92hsLeBV21,Bomet Health Centre,14261,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,159
V0KORzfRrmj,Bomu Medical Center -Old Town,27408,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,28
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,476
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,147
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,673
k2bd5BmXP2t,Bonde Dispensary,13506,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,13
BxIp7V5DU9D,Bondeni Sub County Hospital,14265,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
Z6fKUbscAbZ,Bondo County Referral Hospital,13507,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
xHviPII2Tc3,Boro Dispensary,13513,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,20
Yk6aPsR7nng,Boyani Dispensary,15809,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
nsF2xje8PQl,Bridging Out-Patient,19405,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,13
X43Tf1LIRXh,Brother Andre Medial Centre,12887,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
Y1wbtycY0V8,Budalangi Dispensary,15811,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,68
LFwsHgAoh20,Bugamangi Dispensary,15814,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
gkvsBoZvbH1,Bugina Health Centre,15815,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,30
OQUMus9IsA1,Bugumbe Health Centre,13517,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
ndBnE6yUjoy,Bukaya Health Centre,15817,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16
lSB8vsporuH,Bukembe Dispensary,15819,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,62
tlqVHieBeZo,Bulwani Dispensary,15822,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
aMTxgqDmizK,Bumala A Health Centre,15823,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,15
nuEpF1eboYN,Bumala B Health Centre,15824,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,37
Gci6fQrejup,Bumula Sub County Hospital,15825,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16
OaksTvWzoaf,Bunde Health Centre,13518,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
wXYxrsjOc8d,Bungasi Health Centre,15827,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,21
WDJtmgLjGD8,Bungoma County Referral Hospital,15828,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,462
yBe7688zcRt,Bura Mission Clinic,11265,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
bmKQdaXNX9E,Burinda Dispensary,15830,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
g73LYiD5P06,Burnt Forest Sub County Hospital,16347,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,188
ih3vU3AXadk,Busembe Dispensary,15831,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,13
dI28kasf8Jj,Bushiri Health Centre,15833,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,29
XsRFIn0FhzA,Busia County Referral Hospital,15834,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2491
rd0gE7FLPsv,Busibwabo Dispensary,15835,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
OVV0fHS7fux,Butere Sub County Hospital,15836,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14
yFrzItHccVH,Butula Mission Health Centre,15838,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11
HGLQF59nCsF,Bwagamoyo Dispensary,11266,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
Ch9QLIX4Lv4,Cana Family Life Clinic,12889,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
T5sPlPfblxx,Cardinal Otunga Health Centre,10019,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
ZeHU0vtmrVW,Chaani Catholic Dispensary,23285,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,53
RUBAdXhzucO,Chamuka (CDF) Dispensary,18782,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
CckiDj0RzXx,Chandaria Health Centre,12893,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,10
ZCo6FKCwUZq,Changara GK Health Centre,16421,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,26
Va4NxnOtD4e,Chebangang Health Centre,14289,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,25
OpoaPaPsSWF,Chebororwa Health Centre,14301,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
Ci1bld843vy,Chekalini Health Centre,15851,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,20
DBQxofmfEkm,Chemundu Dispensary,14324,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,48
w2kedceJwpf,Chepareria Sub County Hospital,14330,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8
atDYGSWmahs,Chepchabas Dispensary,14331,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
hmwxjORtUnv,Chepkanga Health Centre,14335,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,655
acAHfxFgxVa,Chepkigen Health Centre,14341,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,426
u2vTqS5F2Fy,Chepkorio Health Centre,14346,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
UvPHBmZnKIu,Chepsaita Dispensary,14358,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,57
qCpPJL5V2m1,Cheptais Sub County Hospital,15855,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,16
ULWedqfO8cB,Cheptalal Sub County Hospital,14366,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,14369,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,42
LSnAhT2jkD7,Cheptongei Health Centre,14373,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
tI2BjAPrXQZ,Cheramei Dispensary,14377,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,436
xmCIA3BSudt,Cherangany Sub County Hospital,14379,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,18
hMaHmkhsdOy,Chesoi Sub County Hospital,14385,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
mfEvntdmjUe,Chevoso Dispensary,15857,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
lwUfSBkSOE0,Chiakariga Health Centre,11969,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8
cMV2EgW6Tza,Chief Milimu Dispensary,16144,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
qNO02IGD3yn,Chiga Dispensary,13524,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,22
kUsA28Yefik,Child Doctor Kenya,19504,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
kVVmxGZKCfA,Chinato Health Centre,13526,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,24
r9Nw0PyLOZD,Christian Community Services Wang'uru Health Centre,10093,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,84
BfvRU0y4Lor,CHS Kitui Central Dice,20448,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14
AhuFQlj25k0,Chs Makindu Dice,19890,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11
OXqeMIqNOUe,CHS Mlolongo Dice,25229,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
gFkev50QJCf,CHS Mwingi Central Dice,20203,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,47
sD0C4mSXA4H,Chuka County Refferal Hospital,11973,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
SZ5jx60nzdK,Chuka Dice,19882,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,47
aRWvqnCMOEN,Chulaimbo County Hospital,13528,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,80
PjJrujKwMvY,Chuthber Dispensary,13530,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
qZCaWe683G3,Chwele Sub County Hospital,15860,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,74
qlNkkxCbBOY,Cianda Dispensary,10097,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,11289,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,64
amP1kWytNm2,Consolata Kyeni Hospital,12413,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5
fMexRJbQRAw,Consolata Mission Hospital (Nkubu),11976,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,338
LtGa9hWTpLy,Coptic Hospital,12905,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,247
izA6A7pqMPN,Coptic Medical Clinic,12904,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,80
oic5beVUm72,Coptic Nursing Home,15862,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
fMMxisqLyA8,Cottolengo Mission Hospital,11977,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,46
hSKpgCPZYm2,D Comboni Mission,11981,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,9
eqnv3W3wuKp,Dagamra Dispensary,11297,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
IDDFhT4VRj1,Dago Jonyo Dispensary,20377,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,41
NXlTHAroEmk,Dallas Dispensary,11984,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
FXzBJIjcAZ5,Dandora (EDARP) Clinic,12911,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,116
zQh2n2JcWtl,Dandora I Health Centre,12913,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,81
DBROL4dIIzA,Dandora II Health Centre,12912,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,21
JAJ7YX1wFAr,David Kayanda Dispensary,11457,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
WG7O02P8x4T,Dede Health Centre,13532,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
tAKPrTA5jzk,DICE Clinic Karungu,19929,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,26
WwYfrsmafhY,DICE Clinic Muhuru,19930,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8
LnVFx00BhRw,Dice icl bomet,24618,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
yjW8519Mkn2,Dienya Health Centre,13533,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
H2T8SxOU1zP,Disciples of Mercy Clinic,13534,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8
g8HWDfoqKdZ,Dog Unit Dispensary (O P Kenya Police),12919,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
iQqQPaktVMP,Dolphil Nursing & Maternity Home,13535,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
l8MVSsObGLy,Don Bosco Catholic Dispensary,10112,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,23
hVTJp5M0cGz,Donholm (EDARP) Clinic,13220,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,66
rGgw3l0bHEI,Dreams Center Dispensary,12929,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,202
x2ByD5QP18B,Dundori Health Centre,14424,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
IFAiMjg74bu,Dzitsoni Medical Clinic,11360,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3
kkM65PEZPa8,East Laikipia Dispensary,21122,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
OkCML3CEtNi,Eastleigh Health Centre,12930,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,61
t8pVCEXnij3,Ebusiratsi Health Centre,15866,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,35
QiAHGmf0031,Ebusyubi Dispensary,15867,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
u0gDQ38iF5S,EDARP Huruma Clinic,12973,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,122
r13EdOxFc92,EDARP Komarock Health Centre,17719,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,171
RVQtRwy75Wt,EDARP Soweto Health Centre,13191,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,181
aX8cPPj4Djf,Egetonto Health Centre,13538,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
PqsRn07KCKv,Ekalakala Health Centre,11995,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
uco8xXZcBc8,Ekamanji Dispensary,15868,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,10
hYlQ9bF0BNY,Ekerenyo Sub-District Hospital,13540,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,26
KvcLdBE3Qar,Ekwanda Health Centre,15870,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,47
X0HAKpTxMe2,Elangata Enterit Dispensary,14427,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,20
tC59iAtOoEh,Elgeyo Boader Dispensary,14437,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
nvSVIH9Vnhg,Elgon View Medical Cottage,15871,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11
VjDw19Sgkaf,Eliye Springs (AIC) Dispensary,14440,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
