orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Total
Kenya,Uasin Gishu County,Kesses Sub County,Cheptiret/Kipchamo Ward,Abigael Health Care Centre,uZSv4cAhOch,Abigael Health Care Centre,24008,Faith Based level 2 facility,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,8
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,117
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1
Kenya,Kisumu County,Nyando Sub County,Kobura Ward,Absalom Wangulu Dispensary,NS2k3fejJUx,Absalom Wangulu Dispensary,20524,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,18
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,111
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,2
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,2
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,11
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1
Kenya,Nyandarua County,Olkalou Sub County,Rurii Ward,ACK Dispensary (Rurii),vmGyHazfngO,ACK Dispensary (Rurii),10979,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,7
Kenya,Narok County,Narok East Sub County,Mosiro Ward,ACK Nturumeti Dispensary,whQyfhyCoEB,ACK Nturumeti Dispensary,15369,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,45
Kenya,Narok County,Narok East Sub County,Mosiro Ward,ACK Nturumeti Dispensary,whQyfhyCoEB,ACK Nturumeti Dispensary,15369,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,1
Kenya,Wajir County,Wajir North Sub County,Bute Ward,Adadijolle Dispensary,M4hBq6jXYVg,Adadijolle Dispensary,13266,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,5
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,18
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,1
Kenya,Wajir County,Wajir West Sub County,Ademasajide Ward,Ademasajida Dispensary,Ya8HkTriZCR,Ademasajida Dispensary,13267,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,106
Kenya,Wajir County,Wajir West Sub County,Arbajahan Ward,Adenawale Dispensary,L4HDKkzUSd6,Adenawale Dispensary,20357,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,32
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Adenville Medical Care Centre,xGcOUjxW1hu,Adenville Medical Care Centre,25609,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,24
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,123
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,14
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,14
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,89
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,16
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,16
Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Administration Police Senior Staff College Dispensary,byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,14
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,275
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,7
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,7
Kenya,West Pokot County,West Pokot Sub County,Riwo Ward,Adurkoit Dispensary,QBjRycsLzPv,Adurkoit Dispensary,14185,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,25
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Advent Med & Dentist Care Centre,CcXV7mdobsl,Advent Med & Dentist Care Centre,18372,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,38
Kenya,Nakuru County,Rongai Sub County,Menengai West Ward,Advent Medicare and Maternity Center,Qpb8mWEy2bR,Advent Medicare and Maternity Center,24675,near ollivine,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,23
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Aego Sagenya Dispensary,wlikHIimMVD,Aego Sagenya Dispensary,25835,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,16
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,fUh3CKfP6Ee,Afraha Maternity and Nursing Home,18382,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,29
Kenya,Wajir County,Wajir East Sub County,Wagberi Ward,Africa Inland Church Dispensary,ynVXQPsTDrH,Africa Inland Church Dispensary,13268,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,231
Kenya,Wajir County,Wajir East Sub County,Wagberi Ward,Africa Inland Church Dispensary,ynVXQPsTDrH,Africa Inland Church Dispensary,13268,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,1
Kenya,Kwale County,Lunga Lunga Sub County,Vanga Ward,Afya Bora clinic,q30Yo5l21vq,Afya Bora clinic,,Private Medical Clinic,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,53
Kenya,Nakuru County,Njoro Sub County,Mau Narok Ward,Afya Bora Medical Clinic,NxuIax9WmUa,Afya Bora Medical Clinic,23130,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,9
Kenya,Kilifi County,Magarini Sub County,Sabaki Ward,Afya International Hospital,qsxmVDGFRfZ,Afya International Hospital,21925,New Facility,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,3
Kenya,Nakuru County,Gilgil Sub County,Mbaruk/Eburu Ward,Afya Medical Clinic (Mbaruk),ECSEcllpsC4,Afya Medical Clinic (Mbaruk),20265,Medical,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,1
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Afya Njema Clinic,QtQRfq2Vjsz,Afya Njema Clinic,11921,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,4
Kenya,Kajiado County,Kajiado East Sub County,Oloosirkon/Sholinke Ward,Aga Khan Clinic Kitengela,JSyhb8IX7ei,Aga Khan Clinic Kitengela,18223,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,9
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Aga Khan Health Service Bungoma Centre,qqYLTXmBcnp,Aga Khan Health Service Bungoma Centre,20557,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,21
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,143
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,20
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,22
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,312
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,3
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,3
Kenya,Kiambu County,Juja Sub County,Kalimoni Ward,Aga Khan Hospital Medical Clinic (Juja),r28OUMDBzqU,Aga Khan Hospital Medical Clinic (Juja),20390,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,13
Kenya,Kericho County,Ainamoi Sub County,Kipchebor Ward,Aga Khan Medical Centre Kericho,U8sl0OVOZty,Aga Khan Medical Centre Kericho,20176,Ushma Plaza Hospital Road,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,20
Kenya,Trans Nzoia County,Saboti Sub County,Matisi Ward,Aga Khan Medical Clinic (Kitale),VV9qw7vQAB5,Aga Khan Medical Clinic (Kitale),20824,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,12
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Aga khan syokimau,YiSC9JwNVW0,Aga khan syokimau,,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,20
Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Aga Khan University Hospital (Buruburu),Vpj6plA6iQa,Aga Khan University Hospital (Buruburu),12868,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,13
Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Aga Khan University Hospital (Buruburu),Vpj6plA6iQa,Aga Khan University Hospital (Buruburu),12868,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,4
Kenya,Nakuru County,Naivasha Sub County,Viwandani Ward,Aga Khan University Hospital Clinic (Naivasha),LYPPXdMyF76,Aga Khan University Hospital Clinic (Naivasha),19335,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,8
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,58
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,5
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,5
Kenya,Narok County,Narok West Sub County,Siana Ward,AGC Lions Ngoswani Hospital,nrf3kj2jO5f,AGC Lions Ngoswani Hospital,25618,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,57
Kenya,Baringo County,Tiaty West Sub County,Tirioko Ward,AGC Ngoron dispensary,ssVO2bxvHtv,AGC Ngoron dispensary,25776,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,9
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,184
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,6
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,6
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,84
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,40
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,40
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,92
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,1
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,1
Kenya,Kiambu County,Lari Sub County,Nyanduma Ward,Ahadi Health and Maternity Services,M7R0OJOMSOA,Ahadi Health and Maternity Services,10018,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,7
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,1170
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,24
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,148
Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,148
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,92
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,11
Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,11
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,425
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,2
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,2
Kenya,Trans Nzoia County,Cherangany Sub County,Makutano Ward,AIC Biribiriet Dispensary,z5apOSpEyGI,AIC Biribiriet Dispensary,18835,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,55
