orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,id,name,code,description,id,name,code,description,id,name,code,description,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,RV1ZeOr98rI,5-9 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,2,1
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,tIZRQs0FK5P,10-14 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,,1,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,tIZRQs0FK5P,10-14 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,3,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,tIZRQs0FK5P,10-14 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,,2
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,QOawCj9oLNS,15-19 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,10,15,6
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,QOawCj9oLNS,15-19 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,3,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,BDPEHrovntA,20-24 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,50,68,73
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,BDPEHrovntA,20-24 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,10,5
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,K9Cw4402aAh,25-29 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,,,1
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,K9Cw4402aAh,25-29 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,56,99,119
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,K9Cw4402aAh,25-29 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,9,14,21
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,JqZFtdn1sG3,30-34 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,32,88,131
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,JqZFtdn1sG3,30-34 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,,1,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,JqZFtdn1sG3,30-34 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,5,9,18
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,ftAnvKhxRxl,35-39 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,25,70,88
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,ftAnvKhxRxl,35-39 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,1,,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,ftAnvKhxRxl,35-39 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,9,11,14
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,kyKHoWxTzHR,40-44 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,1,,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,kyKHoWxTzHR,40-44 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,12,28,27
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,kyKHoWxTzHR,40-44 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,1,1,1
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,kyKHoWxTzHR,40-44 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,9,4
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,MsbFixtB8mu,45-49 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,5,19,8
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,MsbFixtB8mu,45-49 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,1,,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,MsbFixtB8mu,45-49 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,15,8
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,bePcXLCq9Ov,50+ (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,10,31,21
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,bePcXLCq9Ov,50+ (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,2,,1
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,bePcXLCq9Ov,50+ (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,9,30,24
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,BURHq262iEL,1-4 (Inclusive),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,tIZRQs0FK5P,10-14 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,3,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,QOawCj9oLNS,15-19 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,21,30,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,QOawCj9oLNS,15-19 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,2,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,BDPEHrovntA,20-24 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,1,1,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,BDPEHrovntA,20-24 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,42,55,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,BDPEHrovntA,20-24 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,1,,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,BDPEHrovntA,20-24 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,2,4,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,K9Cw4402aAh,25-29 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,41,40,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,K9Cw4402aAh,25-29 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,9,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,JqZFtdn1sG3,30-34 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,JqZFtdn1sG3,30-34 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,44,38,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,JqZFtdn1sG3,30-34 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,8,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,ftAnvKhxRxl,35-39 (Specific),,,ZOYVg7Hosni,Females,,,awSDzziN3Dn,HIV Positive (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,ftAnvKhxRxl,35-39 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,42,41,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,ftAnvKhxRxl,35-39 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,5,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,kyKHoWxTzHR,40-44 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,9,22,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,kyKHoWxTzHR,40-44 (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,kyKHoWxTzHR,40-44 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,2,5,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,MsbFixtB8mu,45-49 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,6,11,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,MsbFixtB8mu,45-49 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,10,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,bePcXLCq9Ov,50+ (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,7,21,
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,bePcXLCq9Ov,50+ (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,6,11,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,RV1ZeOr98rI,5-9 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,tIZRQs0FK5P,10-14 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,14,,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,tIZRQs0FK5P,10-14 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,20,,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,QOawCj9oLNS,15-19 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,2,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,QOawCj9oLNS,15-19 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,4,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,BDPEHrovntA,20-24 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,13,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,BDPEHrovntA,20-24 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,6,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,K9Cw4402aAh,25-29 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,17,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,K9Cw4402aAh,25-29 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,3,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,JqZFtdn1sG3,30-34 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,10,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,JqZFtdn1sG3,30-34 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,4,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,ftAnvKhxRxl,35-39 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,7,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Gakawa Dispensary,xPmai6KMGE1,Gakawa Dispensary,Keipsl10200,,ftAnvKhxRxl,35-39 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,2,
