id,name,lastUpdated,created,shortName,displayName,displayShortName,displayNumeratorDescription,denominatorDescription,displayDenominatorDescription,numeratorDescription,dimensionItem,displayFormName,numerator,denominator,dimensionItemType,indicatorType,indicatorGroups
"a7ULYdqwVak","Deaths and discharges Total","2017-02-01T21:56:24.862000Z","2011-10-25T00:48:22.559000Z","Deaths and discharges","Deaths and discharges Total","Deaths and discharges","Inpatient Discharges and Deaths","","","Inpatient Discharges and Deaths","a7ULYdqwVak","Deaths and discharges Total","#{o6RJFSXIelv}+#{JbfEjiVnE6z}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
"a9FoevajZZW","Gap / surplus (kshs) for Non pharmaceuticals","2020-09-18T10:14:31.325000Z","2012-05-15T09:23:07.395000Z","Non pharma gaps/Suppliers","Gap / surplus (kshs) for Non pharmaceuticals","Non pharma gaps/Suppliers","Sup/Gaps","","","Sup/Gaps","a9FoevajZZW","Gap / surplus (kshs) for Non pharmaceuticals","#{yM9I4mtTWWT.mkunaICeJrU}-#{xifB1WtH7Ng.mkunaICeJrU}-#{RbeH1QkzW1n.mkunaICeJrU}-#{xgjUzJuRc9y.mkunaICeJrU}-#{wvsz8rHyZjm.mkunaICeJrU}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rBAAPO26hBv,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
"A9KOgWrbCCY","Essenetial - Diabetes cases - new cases","2020-08-11T11:57:36.625000Z","2020-08-11T11:57:36.625000Z","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","Essenetial - Diabetes cases - new cases","A9KOgWrbCCY","Essenetial - Diabetes cases - new cases","#{X1nfVRZfgoj.QOIpb8LBRtm}+#{X1nfVRZfgoj.EynBGhY9Yg4}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rBAAPO26hBv,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
"AA1A2D4itbr","new outpatients with mental health conditions","2013-03-24T23:36:27.593000Z","2012-11-03T14:21:52.391000Z","% of new OPD mental","new outpatients with mental health conditions","% of new OPD mental","New OPD mental health conditions","Total Population","Total Population","New OPD mental health conditions","AA1A2D4itbr","new outpatients with mental health conditions","#{HmgfJSVUOOr}","#{NLKRV7bYbVy.NhSoXUMPK2K}","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"aAtDRpz8eUn","Total BCG doses used in the month","2016-06-10T12:35:44.693000Z","2016-06-10T09:56:15.477000Z","Total BCG doses used in the month","Total BCG doses used in the month","Total BCG doses used in the month","BCG doses used in the month","null","null","BCG doses used in the month","aAtDRpz8eUn","Total BCG doses used in the month","(#{d8MsenqQaMv.NhSoXUMPK2K}+#{mRVVnw1KKSL.NhSoXUMPK2K})-#{iIlheePZjCc.NhSoXUMPK2K}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,FAaIPJ9q4ss,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,hUNI9zf72sM,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,k62k3W1UV7I,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mf75s4n1mCi,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,nZyZuWGSH2k,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,OpM4vDvAs9W,Pa2NFhofhJ6,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,rCRBXEgblbx,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,UNB96kotIJU,v3p421EJ50L,VePi73lntgX,WBQEM00Kjl7,wi2yLsuEfLu,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,yxBBiKKFi5S,ZG0OtMj5p9K"
"AaulbTKIvL4","Percentage of children <5years who are underweight","2019-12-18T16:43:58.349000Z","2013-02-15T11:02:37.510000Z","Child <5yrs underweight","Percentage of children <5years who are underweight","Child <5yrs underweight","Total Underweight  < 5yrs","Total Weight= <5yrs","Total Weight= <5yrs","Total Underweight  < 5yrs","AaulbTKIvL4","Percentage of children <5years who are underweight","#{ENjll6PbaI8.a57uWFr3dUy} + #{ENjll6PbaI8.MJAGUpeHkpn} + #{HlZXTFN2B61.a57uWFr3dUy} + #{HlZXTFN2B61.MJAGUpeHkpn} + #{Ype6qUApdlR.a57uWFr3dUy} + #{Ype6qUApdlR.MJAGUpeHkpn} + #{AIduSzrilaz.a57uWFr3dUy} + #{AIduSzrilaz.MJAGUpeHkpn} + #{AYT1IPxFRZx.a57uWFr3dUy} + #{AYT1IPxFRZx.MJAGUpeHkpn} + #{uYBa6RU8wUZ.a57uWFr3dUy} + #{uYBa6RU8wUZ.MJAGUpeHkpn}","(#{ENjll6PbaI8.a57uWFr3dUy} + #{ENjll6PbaI8.MJAGUpeHkpn} + #{HlZXTFN2B61.a57uWFr3dUy} + #{HlZXTFN2B61.MJAGUpeHkpn} + #{Ype6qUApdlR.a57uWFr3dUy} + #{Ype6qUApdlR.MJAGUpeHkpn} + #{AIduSzrilaz.a57uWFr3dUy} + #{AIduSzrilaz.MJAGUpeHkpn} + #{AYT1IPxFRZx.a57uWFr3dUy} + #{AYT1IPxFRZx.MJAGUpeHkpn} + #{uYBa6RU8wUZ.a57uWFr3dUy} + #{uYBa6RU8wUZ.MJAGUpeHkpn})  + (#{twpy25QKLk9.a57uWFr3dUy} + #{twpy25QKLk9.MJAGUpeHkpn} + #{qoEPwxCNrll.a57uWFr3dUy} + #{qoEPwxCNrll.MJAGUpeHkpn} + #{ikI4r8YuZZ0.a57uWFr3dUy} + #{ikI4r8YuZZ0.MJAGUpeHkpn}) + (#{QCNHvzgxurQ.a57uWFr3dUy} + #{QCNHvzgxurQ.MJAGUpeHkpn} + #{mv0ICssqScK.a57uWFr3dUy} + #{mv0ICssqScK.MJAGUpeHkpn} + #{k3xX4NKJaaY.a57uWFr3dUy} + #{k3xX4NKJaaY.MJAGUpeHkpn}) + (#{lvyOQjZaXZ3.a57uWFr3dUy} + #{lvyOQjZaXZ3.MJAGUpeHkpn} + #{zels3jARvGQ.a57uWFr3dUy} + #{zels3jARvGQ.MJAGUpeHkpn} + #{PW4W1Fa7b5b.a57uWFr3dUy} + #{PW4W1Fa7b5b.MJAGUpeHkpn})","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,v3p421EJ50L,VePi73lntgX,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"abK8XwK3iMP","MOH 730_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP) FDC (300/150/200mg) SoH","2016-06-02T14:48:18.220000Z","2016-06-02T14:47:54.669000Z","MOH_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP)","MOH 730_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP) FDC (300/150/200mg) SoH","MOH_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP)","MOH_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP) FDC (300/150/200mg) SoH","null","null","MOH_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP) FDC (300/150/200mg) SoH","abK8XwK3iMP","MOH 730_Zidovudine/Lamivudine/Nevirapine (AZT/3TC/NVP) FDC (300/150/200mg) SoH","#{c4V5Fav5ovZ.hC4WAv2wKep}+#{vVwNDHLP9NT.D7WnuXFK7PR}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"AcHIhCDHQ5q","PMI_ArtInj MoS Stock","2019-04-23T15:44:06.061000Z","2019-04-23T15:44:06.061000Z","ArtInj MoS Stock","PMI_ArtInj MoS Stock","ArtInj MoS Stock","KSS artinj","Adjc injection","Adjc injection","KSS artinj","AcHIhCDHQ5q","PMI_ArtInj MoS Stock","#{Wupc6TOJhcK.HMTuusGLTUj}","#{naztfZrbMtd.miM6uIJ2cWx}","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,v3p421EJ50L,VePi73lntgX,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"AclEIcJbsT9","TOB-Nursery/Neonatal Ward","2013-03-24T23:36:26.341000Z","2012-07-10T17:20:08.612000Z","TOB-Nursery/Neonatal Ward","TOB-Nursery/Neonatal Ward","TOB-Nursery/Neonatal Ward","OBD-Nursery/Neonatal Ward","ABD-Nursery/Neonatal Ward","ABD-Nursery/Neonatal Ward","OBD-Nursery/Neonatal Ward","AclEIcJbsT9","TOB-Nursery/Neonatal Ward","#{VuMnNeKMui9.CFyfkW0xUuP}","(#{VuMnNeKMui9.fgY5yxfRFHN}+#{VuMnNeKMui9.ERX6phnRjMW})*[days]","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,FAaIPJ9q4ss,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,hUNI9zf72sM,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,k62k3W1UV7I,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mf75s4n1mCi,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,nZyZuWGSH2k,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,OpM4vDvAs9W,Pa2NFhofhJ6,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,rCRBXEgblbx,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,UNB96kotIJU,v3p421EJ50L,VePi73lntgX,WBQEM00Kjl7,wi2yLsuEfLu,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,yxBBiKKFi5S,ZG0OtMj5p9K"
"aDxr9ADYIWg","%  Transferred out between 0 and 18 month","2013-08-12T15:56:33.780000Z","2013-07-24T21:58:40.150000Z","%  Transferred out between 0 and 18 mont","%  Transferred out between 0 and 18 month","%  Transferred out between 0 and 18 mont","Transferred out between 0 and 18 month","Expected  Transferred out between 0 and 18 month","Expected  Transferred out between 0 and 18 month","Transferred out between 0 and 18 month","aDxr9ADYIWg","%  Transferred out between 0 and 18 month","#{YEZKh5z5uIX.C0JkKJwjz0z}","#{YEZKh5z5uIX.kKduCnnIOk7}","INDICATOR","gmR4Yqwh6TY","BO988GSyf0X,BpL03nl4Ocf,kZdf3LmMFKF,pd24ijrPxT8,rwAsLJC6Dmq"
"ae30uCeFdl0","TB Case notification rate per 100,000","2018-07-26T12:21:07.560000Z","2018-07-26T12:21:07.560000Z","TB Case notification rate per 100,000","TB Case notification rate per 100,000","TB Case notification rate per 100,000","Number of notified new and relapse TB cases during the period of assessment","Total Population","Total Population","Number of notified new and relapse TB cases during the period of assessment","ae30uCeFdl0","TB Case notification rate per 100,000","#{xhQlihiebMH.Fmwb7qAGS9L} + #{xhQlihiebMH.ugrZILDyXFQ}","#{NLKRV7bYbVy}","INDICATOR","eAdHp8ti32b","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,nZyZuWGSH2k,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,OpM4vDvAs9W,Pa2NFhofhJ6,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,UNB96kotIJU,v3p421EJ50L,VePi73lntgX,WBQEM00Kjl7,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"AecI5IRlRSR","PMI_RDT need pq","2019-05-02T11:38:20.293000Z","2019-05-02T10:13:23.849000Z","PMI_RDT need pq","PMI_RDT need pq","PMI_RDT need pq","PMI_RDT need pq","PMI_RDT need pq","PMI_RDT need pq","PMI_RDT need pq","AecI5IRlRSR","PMI_RDT need pq","#{Umi8ZsiqBHw.miM6uIJ2cWx} * 6","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,v3p421EJ50L,VePi73lntgX,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"AEGpotBQAeP","HTS_Number of  discordant couples","2020-10-22T12:39:33.411000Z","2020-09-24T17:16:20.448000Z","HTS_Number of discordant couples","HTS_Number of  discordant couples","HTS_Number of discordant couples","Discordant","1","1","Discordant","AEGpotBQAeP","HTS_Number of  discordant couples","#{W0ChhvyVtSX}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"aEgq9k5jJOP","Cascade Adolesents estimates","2021-02-02T17:01:46.691000Z","2021-01-20T09:01:24.690000Z","Cascade Adolesents estimates","Cascade Adolesents estimates","Cascade Adolesents estimates","Adolesents living with HIV","1","1","Adolesents living with HIV","aEgq9k5jJOP","Cascade Adolesents estimates","#{chNcH4HrZyF}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,FY80wPmpcGR,ILjnvZREKIe,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mwndwamx3WU,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
