uid,mflcode,facility,level,ward,subcounty,county
VPgkGD2oroD,29290,Tendercare Hospital LTD,5,Imara Daima Ward,Embakasi South Sub County,Nairobi County
n7u0dOMUFWo,29296,Equity Afia Kiserian,5,Keekonyokie Ward,Kajiado West Sub County,Kajiado County
EjwbsWvUxCY,28253,Temperance Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
qXsAxUYj0Ji,15153,Matasia Nursing Home,5,Olkeri Ward,Kajiado North Sub County,Kajiado County
tHIuPy0T8F8,17172,Kolenyo Health Centre,5,Central Seme Ward,Seme Sub County,Kisumu County
g6JA2v383gE,29298,Benice Medical Centre,5,Syokimau/Mulolongo Ward,Athi River Sub County,Machakos County
Z5F7aMBGb7F,29299,Lyndah-Care Medical Clinic,5,West Kasipul Ward,Rachuonyo South Sub County,Homa Bay County
rc8sxMGpgpq,29300,Buyofu Dispensary,5,Bukhayo East Ward,Nambale Sub County,Busia County
Hz9geNUJ467,29301,Equity Afia KaratinaMedical Clinic,5,Karatina Town Ward,Mathira East Sub County,Nyeri County
g6PiGVbTE1Q,29519,Nuu Medicare Centre,5,Nuu Ward,Mwingi Central Sub County,Kitui County
gGIknumhDkV,29520,Wadi Medicare,5,Township Ward,Kitui Central Sub County,Kitui County
R376NZrtPwg,29521,Mangani Medicare Centre,5,Mumoni Ward,Mwingi North Sub County,Kitui County
pt2den9BnoP,26008,ARAPAL,5,Loiyangalani Ward,Laisamis Sub County,Marsabit County
FUx1yES0NLq,29522,Dorjo Medical Services,5,Kivou Ward,Mwingi Central Sub County,Kitui County
UaSLLKNersa,17717,Komarock Modern Medical Care,5,Komarock Ward,Embakasi Central Sub County,Nairobi County
NOX7NdkuTcs,29524,Resolution Diagnostics,5,Central Ward,Mwingi Central Sub County,Kitui County
m3LmuT3zzVS,21694,Kombani Dispensary,5,Waa Ng'ombeni Ward,Matuga Sub County,Kwale County
WPhMyqa7tMP,16270,Kombato Dispensary,5,Macalder/Kanyarwanda Ward,Nyatike Sub County,Migori County
vstve0ATifu,23368,Kombani Mat clinic,5,Waa Ng'ombeni Ward,Matuga Sub County,Kwale County
pAb5dOqbI6V,11498,Kombeni Dispensary,5,Ruruma Ward,Rabai Sub County,Kilifi County
dBRPsu8aTMv,29302,Saba Medical Center,5,Kamahuha Ward,Muranga South Sub County,Muranga County
hMaHmkhsdOy,14385,Chesoi Sub County Hospital,5,Sambirir Ward,Marakwet East Sub County,Elgeyo Marakwet County
yPwpZBaxX79,29523,Kibartare Dispensary,5,Wamba North Ward,Samburu East Sub County,Samburu County
aiIjsZPg6qg,14986,Kongoni Dispensary,5,Umande Ward,Laikipia East Sub County,Laikipia County
YqOXCc69wP5,28912,Brighton Medical Centre,5,Boochi Borabu Ward,Bomachoge Borabu Sub County,Kisii County
afb6oD7Ao2I,24533,Kongoni Medical Centre (Naivasha),5,Olkaria Ward,Naivasha Sub County,Nakuru County
aPDRzaUqdJZ,,Konya Community Dispensary (Duplicate),5,East Ugenya Ward,Ugenya Sub County,Siaya County
CTyQmRgaaLX,18120,Buburi Community Health Clinic,5,Ageng'a Nanguba Ward,Samia Sub County,Busia County
hVTJp5M0cGz,13220,Donholm (EDARP) Clinic,5,Upper Savannah Ward,Embakasi East Sub County,Nairobi County
fNVYEyxjawL,13172,Ruaraka Dispensary,5,Roysambu Ward,Roysambu Sub County,Nairobi County
XM7A4cCqHUs,29533,Komothai Dispensary,5,Murindati Ward,Gilgil Sub County,Nakuru County
SptPbIhiRqV,26516,Ayucha Heallth Centre,5,Awasi/Onjiko Ward,Nyando Sub County,Kisumu County
mZQjCal4EFW,29529,Peak Dental,5,Kitutu Central Ward,Kitutu Chache South Sub County,Kisii County
KWUIaQTmlHg,29530,Anka Hospital Isiolo,5,Bulla Pesa Ward,Isiolo Sub County,Isiolo County
PdrCijr3WVJ,29534,Evalite Medical Clinic,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
eJv2LV9q1pR,29535,Evalite Medical Clinic,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
qoNlKa811F4,25517,Domiline Medical Centre,5,Moticho Ward,South Mugirango Sub County,Kisii County
sZOI5RDvrIU,28563,Medipointe Medical Multi-Specialty Clinics Ltd,5,Karura Ward,Westlands Sub County,Nairobi County
aXcTjaOYxbq,16873,Kopolo Clinic,5,Central Sakwa Ward,Bondo Sub County,Siaya County
jMGfA67T23i,12173,Kangaru Hospital,5,Kirimari Ward,Manyatta Sub County,Embu County
rDvcx3r8z5h,29308,Nguni Favour Medicare,5,Nguni Ward,Mwingi Central Sub County,Kitui County
GDfOJwCmCok,29311,Springcrest Medical Center,5,Karima Ward,Nyeri South Sub County,Nyeri County
h5OdkQ5jKdv,17409,Emalindi Health Centre,5,Kisa East Ward,Khwisero Sub County,Kakamega County
kfqO5SRgpLG,29531,Cidzipwa Dispensary,5,Mwavumbo Ward,Kinango Sub County,Kwale County
xZMx9g1d3xL,29536,Evalite Medical Clinic,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
FwNIL5kEjeu,29537,Jaystel Medical Centre,5,Embakasi Ward,Embakasi East Sub County,Nairobi County
PIvTh2eOrWE,29309,Shacha MShacha Medical Clinic,5,Kanamkemer Ward,Turkana Central Sub County,Turkana County
I3cnMlT7hCs,29310,Verdiva medical centre,5,Hospital Ward,Thika Town Sub County,Kiambu County
UIDdI7p0SrB,29532,Chidzipwa Dispensary,5,Mwavumbo Ward,Kinango Sub County,Kwale County
ghoqSIAk5V6,29539,Julani Dispensary,5,Mwavumbo Ward,Kinango Sub County,Kwale County
ILom9guAbdz,29541,Baptist Medical Center,5,Kabuchai/Chwele Ward,Kabuchai Sub County,Bungoma County
EkaphfjRPxs,13318,Dagahaley Hospital,5,Damajale Ward,Dadaab Sub County,Garissa County
enSxf2NAyNE,29543,Arwos,5,Kilibwoni Ward,Emgwen Sub County,Nandi County
kXAoZhmJwWB,24624,Koruma Dispensary,5,Chepchabas Ward,Konoin Sub County,Bomet County
YFNwDhUkvgF,29540,Puche Medical Clinic,5,Wemilabi Ward,Luanda Sub County,Vihiga County
jGTlnSFR2ZS,29542,Balcurt Medical Clinic,5,Mukuyuni Ward,Kabuchai Sub County,Bungoma County
EzS8Q2aNLJ9,21899,Kotunga Dispensary,5,Kajulu Ward,Kisumu East Sub County,Kisumu County
EqwwBsAHPcD,24265,Kubi Bagasa Dispensary,5,Sagante/Jaldesa Ward,Saku Sub County,Marsabit County
EIWNbsTAjJC,10645,Kugeria Cbo Project,5,Murinduko Ward,Kirinyaga South Sub County,Kirinyaga County
WkwPnFfMytP,18076,Kuge Health Centre,5,Gembe Ward,Mbita Sub County,Homa Bay County
UU5HYjoMJq0,,Shaurimoyo (EDARP) Clinic,5,California Ward,Kamukunji Sub County,Nairobi County
m3tOAWl7ntx,29544,Tingatella Dispensary(Kipkelion),5,Kamasian Ward,Kipkelion West Sub County,Kericho County
K4Xv5iMmbb8,29318,Tomaps Medical Clinic,5,Chakol South Ward,Teso South Sub County,Busia County
ZQBkmrdOpuC,16683,Kuresoi Health Centre,5,Kiptororo Ward,Kuresoi North Sub County,Nakuru County
f6G70YFWj2n,29551,Sisit Medical Services Clinic,5,Simat/Kapseret Ward,Kapseret Sub County,Uasin Gishu County
lbze9EfO7qb,19740,Kasarani Dispensary (Gilgil),5,Malewa West Ward,Gilgil Sub County,Nakuru County
VFSyhiyOpEt,20191,Kurum Dispensary,5,Mugogodo West Ward,Laikipia North Sub County,Laikipia County
YyBtotCrwjD,26120,Kwa Dr Wabore's Clinic,5,Molo Ward,Molo Sub County,Nakuru County
wwBB7XKIgr8,16066,Nambale Sub County Hospital,5,Nambale Ward,Nambale Sub County,Busia County
VEwHGGLSugj,22833,kwa Kakulu Dispensary (Emali),5,Emali/Mulala Ward,Kibwezi West Sub County,Makueni County
FA8zVLtGdHQ,10355,Island Farms Health Centre,5,Kabaru Ward,Kieni East Sub County,Nyeri County
Xfwwslkpp30,28852,Kitobor Dispensary,5,Suguta Marmar Ward,Samburu Central Sub County,Samburu County
Apnu4IrYHcA,28854,Loiragai Dispensary,5,Loosuk Ward,Samburu Central Sub County,Samburu County
tGWDiA2vavY,28858,Lekuru Dispensary,5,Lodokejek Ward,Samburu Central Sub County,Samburu County
tj4YAYCSESB,29256,Donniecare Medical Clinic,5,Maralal Ward,Samburu Central Sub County,Samburu County
THgDwgHxluL,28855,Lorok Lolmongo,5,Baawa Ward,Samburu Central Sub County,Samburu County
S3f22ObVMzi,28864,Mugur Dispensary,5,Lodokejek Ward,Samburu Central Sub County,Samburu County
SbRklGInw0B,24088,Sigma Medical Centre,5,Baragwi Ward,Kirinyaga East Sub County,Kirinyaga County
QuufVLWi602,27219,Nyakoko Health Centre,5,Miwani Ward,Muhoroni Sub County,Kisumu County
umOkAJJ3aUH,20907,Miranga Dispensary,5,Miwani Ward,Muhoroni Sub County,Kisumu County
DtdD9MJRSLH,23259,Mwananchi Medical clinic,5,Kaptembwo Ward,Nakuru West Sub County,Nakuru County
NSLfruQeiaU,29553,Obunga Dispensary-Kisumu,5,Railways Ward,Kisumu Central Sub County,Kisumu County
C6MHvfVfN91,29554,Kanyakwar Dispensary,5,Railways Ward,Kisumu Central Sub County,Kisumu County
Hi8bvJz4Piu,15448,Osinoni Dispensary,5,Shankoe Ward,Transmara West Sub County,Narok County
tw06oy1nvVZ,29555,Edgewood Dispensary,5,Subukia Ward,Subukia Sub County,Nakuru County
CFDeHZrsxuF,29552,Quracle Nursing Home,5,Neboi Ward,Mandera East Sub County,Mandera County
wy4WoH3HXhr,29556,Salama Yard,5,Pipeline Ward,Embakasi South Sub County,Nairobi County
Ki3E4GNuj27,16004,Matayos Health Centre,5,Matayos South Ward,Matayos Sub County,Busia County
oW6X2s7eYHT,25114,Munanda Dispensary (Gilgil),5,Mbaruk/Eburu Ward,Gilgil Sub County,Nakuru County
RKT0wHC4CrG,25105,Mugaa Dispensary,5,Elementaita Ward,Gilgil Sub County,Nakuru County
dfBBAU4Ot8m,22719,Kiaumbui Dispensary,5,Njukiine Ward,Kirinyaga East Sub County,Kirinyaga County
lztoMTi8Imo,23569,Wonyoi Dispensary,5,Sook Ward,West Pokot Sub County,West Pokot County
WceDlM6RHxf,29558,Jumeira Specialist Clinic Limited,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
QMpzQb9n583,25107,Muthaiti Dispensary,5,Mbaruk/Eburu Ward,Gilgil Sub County,Nakuru County
u1gEoIZDakq,29560,Evergreen Dental care limited,5,London Ward,Nakuru West Sub County,Nakuru County
BNvAE7jm6Gz,13368,Ifo 1 Hospital,5,Dadaab Ward,Dadaab Sub County,Garissa County
pThhj7hcUnM,11589,Mbale Health Centre,5,Wundanyi/Mbale Ward,Wundanyi Sub County,Taita Taveta County
CVE6tCrr2nr,25750,Ifo Health Post 7,5,Dadaab Ward,Dadaab Sub County,Garissa County
ngoiPJI72q1,26057,Ifo Health Post 1 Dispensary,5,Dadaab Ward,Dadaab Sub County,Garissa County
C5R3MsbMP9o,29562,Kasarani Dispensary,5,Elburgon Ward,Molo Sub County,Nakuru County
AfrL9Cw3W2v,13847,Nduru Sub County Referral Hospital,5,Bogetenga Ward,South Mugirango Sub County,Kisii County
S56QH0MlvdS,29573,St Elijah's EJ Health services limited,5,Syokimau/Mulolongo Ward,Athi River Sub County,Machakos County
d2G5RSwiFxO,29574,Godomadiqo Dispensary,5,Golbo Ward,Moyale Sub County,Marsabit County
E8buaXO8vHz,29577,Godomadiqo Dispensary,5,Golbo Ward,Moyale Sub County,Marsabit County
pxiG72rj4Ep,29580,Kabarnet Cottage Hospital,5,Kapropita Ward,Baringo Central Sub County,Baringo County
mrByiWwmrul,29582,OASIS OF HOPE HEALTH CARE,5,Bulla Pesa Ward,Isiolo Sub County,Isiolo County
tKcIqKves90,29586,Baptist Medical Center(Chwele),5,Kabuchai/Chwele Ward,Kabuchai Sub County,Bungoma County
QxV82lJyAYy,29587,The Lenox Hill Healthcare Centre,5,Mwiki Ward,Kasarani Sub County,Nairobi County
hDTaTlPYVAC,29592,Mokwo Dispesary,5,Kapkangani Ward,Emgwen Sub County,Nandi County
NWf6BmxBu8q,29595,Maluma dispensary,5,Athi Ward,Kitui South Sub County,Kitui County
MW7JU9VscJA,29596,Crownstar Medical Centre,5,Antubetwe Kiongo Ward,Igembe North Sub County,Meru County
MSY6VWzpz04,29597,Sobukwo Dispensary,5,Batei Ward,Pokot South Sub County,West Pokot County
KmjZUXQegGK,29600,Almer Medical Services,5,Maraka Ward,Webuye East Sub County,Bungoma County
rQH3dts2vpx,29604,Ibinda Dispensary,5,Kisa Central Ward,Khwisero Sub County,Kakamega County
JW6if4J2Z5C,29609,The Matuu Hospital,5,Matuu Ward,Yatta Sub County,Machakos County
y61y8dUTPGs,29610,The Matuu Hospital,5,Matuu Ward,Yatta Sub County,Machakos County
xeng3oqkOxE,24496,Kisawayi,5,Siboti Ward,Bumula Sub County,Bungoma County
pVSTXVFdGGu,29611,Bethsaida Medical Clinic Yatta,5,Ikombe Ward,Yatta Sub County,Machakos County
yiyOkUsTmjZ,29563,Qonqoma Dispensary,5,Golbo Ward,Moyale Sub County,Marsabit County
d6igLHhujPr,28881,Giathae Medical Services,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
THD1tcehZjR,29613,Lokitoenyala Dispensary,5,Lakezone Ward,Turkana North Sub County,Turkana County
y2hmHgSsa4w,29615,Tumaini Medical Clinic Kinango,5,Kinango Ward,Kinango Sub County,Kwale County
NTCdNkUbgm6,29616,Dudi Imani Medical Clinic Limited,5,Kisa West Ward,Khwisero Sub County,Kakamega County
MmojLQkJWtM,13300,Banisa sub county Hospital,5,Banissa Ward,Banissa Sub County,Mandera County
BF24pviXTGc,29605,PITARP  DICE Kakamega,5,Kholera Ward,Matungu Sub County,Kakamega County
xYuGcMwDgLT,29585,Eor-Ekule,5,Ildamat Ward,Narok East Sub County,Narok County
V5MHm5tA36q,29578,BARIO MEDICAL CENTRE,5,Takaba Ward,Mandera West Sub County,Mandera County
PZoNErWKSiL,29588,The Lenox Hill Healthcare Centre,5,Mwiki Ward,Kasarani Sub County,Nairobi County
qGySFF5g9WV,29593,Mokwo Dispesary,5,Kapkangani Ward,Emgwen Sub County,Nandi County
ktPKxVzxfbm,29594,Inspocare Health Limited,5,Pangani Ward,Starehe Sub County,Nairobi County
GZRFIroHPJ2,29598,Oloibor Ajijik Dispensary,5,Imaroro Ward,Kajiado East Sub County,Kajiado County
C11ILTf0NRk,29601,Nyiro Medical Clinic,5,Nyiro Ward,Samburu North Sub County,Samburu County
xZdVwPcQHtp,18112,Edesa Medicare Bungoma,5,Bukembe East Ward,Kanduyi Sub County,Bungoma County
yGjXZ9ilMmP,29612,Bethsaida Medical Clinic Yatta,5,Ikombe Ward,Yatta Sub County,Machakos County
zJ6K2Cu1egG,29608,Doveypharma Limited,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
