facility,ward,subcounty,county,Datim_Facility_UID,DATIM_Disag_ID,DATIM_Disag_Name,datim_data,,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,uURluLqPIJ5,<15 | Unknown Sex,17,1.4651E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,913,0.000786845,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,zHSL7ATXJib,<15 | Male,1,8.61824E-07,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,XX7hDj6iz0D,15+ | Male,9,7.75641E-06,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,uURluLqPIJ5,<15 | Unknown Sex,3,2.58547E-06,,,,
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,25,2.15456E-05,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,2,1.72365E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,2,1.72365E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,chrwpNxHlQQ,<15 | Female,9,7.75641E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,XX7hDj6iz0D,15+ | Male,3,2.58547E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,XX7hDj6iz0D,15+ | Male,25,2.15456E-05,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,uURluLqPIJ5,<15 | Unknown Sex,2,1.72365E-06,,,,
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,79,6.80841E-05,,,,
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,XX7hDj6iz0D,15+ | Male,1,8.61824E-07,,,,
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,XX7hDj6iz0D,15+ | Male,5,4.30912E-06,,,,
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,uURluLqPIJ5,<15 | Unknown Sex,3,2.58547E-06,,,,
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,Yf1BiWq71NE,15+ | Female,15,1.29274E-05,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,2,1.72365E-06,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,12,1.03419E-05,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,chrwpNxHlQQ,<15 | Female,2,1.72365E-06,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,2,1.72365E-06,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,73,6.29131E-05,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,uURluLqPIJ5,<15 | Unknown Sex,8,6.89459E-06,,,,
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,215,0.000185292,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,34,2.9302E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,9,7.75641E-06,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,52,4.48148E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,chrwpNxHlQQ,<15 | Female,37,3.18875E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,zHSL7ATXJib,<15 | Male,21,1.80983E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,19,1.63747E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,398,0.000343006,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,uURluLqPIJ5,<15 | Unknown Sex,47,4.05057E-05,,,,
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,832,0.000717037,,,,
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,XX7hDj6iz0D,15+ | Male,2,1.72365E-06,,,,
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,Yf1BiWq71NE,15+ | Female,5,4.30912E-06,,,,
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,XX7hDj6iz0D,15+ | Male,18,1.55128E-05,,,,
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,uURluLqPIJ5,<15 | Unknown Sex,3,2.58547E-06,,,,
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,Yf1BiWq71NE,15+ | Female,62,5.34331E-05,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,5,4.30912E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,3,2.58547E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,5,4.30912E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,chrwpNxHlQQ,<15 | Female,2,1.72365E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,1,8.61824E-07,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,52,4.48148E-05,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,uURluLqPIJ5,<15 | Unknown Sex,7,6.03277E-06,,,,
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,130,0.000112037,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,3,2.58547E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,1,8.61824E-07,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,2,1.72365E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,chrwpNxHlQQ,<15 | Female,2,1.72365E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,3,2.58547E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,22,1.89601E-05,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,uURluLqPIJ5,<15 | Unknown Sex,4,3.4473E-06,,,,
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,74,6.3775E-05,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,XX7hDj6iz0D,15+ | Male,1,8.61824E-07,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,Yf1BiWq71NE,15+ | Female,,0,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,zHSL7ATXJib,<15 | Male,2,1.72365E-06,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,XX7hDj6iz0D,15+ | Male,24,2.06838E-05,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,uURluLqPIJ5,<15 | Unknown Sex,5,4.30912E-06,,,,
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,Yf1BiWq71NE,15+ | Female,26,2.24074E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,57,4.9124E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,22,1.89601E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,50,4.30912E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,chrwpNxHlQQ,<15 | Female,35,3.01638E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,zHSL7ATXJib,<15 | Male,34,2.9302E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,38,3.27493E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,516,0.000444701,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,uURluLqPIJ5,<15 | Unknown Sex,45,3.87821E-05,,,,
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,1298,0.001118647,,,,
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,9,7.75641E-06,,,,
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,XX7hDj6iz0D,15+ | Male,13,1.12037E-05,,,,
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,10,8.61824E-06,,,,
Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,ILFbV5BZSYd,XX7hDj6iz0D,15+ | Male,2,1.72365E-06,,,,
Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,ILFbV5BZSYd,Yf1BiWq71NE,15+ | Female,11,9.48006E-06,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,chrwpNxHlQQ,<15 | Female,1,8.61824E-07,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,zHSL7ATXJib,<15 | Male,2,1.72365E-06,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,XX7hDj6iz0D,15+ | Male,3,2.58547E-06,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,XX7hDj6iz0D,15+ | Male,9,7.75641E-06,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,uURluLqPIJ5,<15 | Unknown Sex,4,3.4473E-06,,,,
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,Yf1BiWq71NE,15+ | Female,16,1.37892E-05,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,4,3.4473E-06,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,8,6.89459E-06,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,chrwpNxHlQQ,<15 | Female,1,8.61824E-07,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,zHSL7ATXJib,<15 | Male,6,5.17094E-06,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,XX7hDj6iz0D,15+ | Male,47,4.05057E-05,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,uURluLqPIJ5,<15 | Unknown Sex,7,6.03277E-06,,,,
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,108,9.3077E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,41,3.53348E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,22,1.89601E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,51,4.3953E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,chrwpNxHlQQ,<15 | Female,25,2.15456E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,zHSL7ATXJib,<15 | Male,26,2.24074E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,38,3.27493E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,389,0.000335249,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,uURluLqPIJ5,<15 | Unknown Sex,30,2.58547E-05,,,,
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,859,0.000740307,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,Yf1BiWq71NE,15+ | Female,13,1.12037E-05,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,6,5.17094E-06,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,Yf1BiWq71NE,15+ | Female,19,1.63747E-05,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,chrwpNxHlQQ,<15 | Female,11,9.48006E-06,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,zHSL7ATXJib,<15 | Male,7,6.03277E-06,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,9,7.75641E-06,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,176,0.000151681,,,,
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,uURluLqPIJ5,<15 | Unknown Sex,14,1.20655E-05,,,,
