"id","organisationunitid","MOH_FacilityID","uid","mflcode","facility","level","ward","subcounty","county","MOH_IndicatorCode","inndicator","Value","Period","created_at","updated_at"
28,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202204",,
29,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"54","202112",,
30,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"16","202207",,
31,"22621",e0eHfNQ5SwY,AQsTt7jtKbt,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"4","202207",,
32,"22621",e0eHfNQ5SwY,EhZQp3PTA3C,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"2","202205",,
33,"22621",e0eHfNQ5SwY,e93GKJTHKAX,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"1","202207",,
34,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"15","202201",,
35,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202204",,
36,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"59","202206",,
37,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202203",,
38,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202112",,
39,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"17","202204",,
40,"22631",fG07wRWF4mw,yNCUlEYkmyA,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"3138","202204",,
41,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"47","202201",,
42,"22631",fG07wRWF4mw,SJL4k6Gl53C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,SJL4k6Gl53C,MOH 731   On ART_<1       HV03-028,"1","202205",,
43,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1316","202111",,
44,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"46","202110",,
45,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"89","202207",,
46,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"86","202204",,
47,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"124","202206",,
48,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1333","202202",,
49,"22631",fG07wRWF4mw,GSEmLUnrvzj,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"43","202207",,
50,"22631",fG07wRWF4mw,wbJOu4h2SSz,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"66","202205",,
51,"22631",fG07wRWF4mw,e93GKJTHKAX,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"74","202111",,
52,"22631",fG07wRWF4mw,wbJOu4h2SSz,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"64","202111",,
53,"22631",fG07wRWF4mw,e93GKJTHKAX,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"77","202202",,
54,"22631",fG07wRWF4mw,wbJOu4h2SSz,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"69","202202",,
55,"22631",fG07wRWF4mw,GSEmLUnrvzj,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"44","202111",,
56,"22631",fG07wRWF4mw,yNCUlEYkmyA,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"3089","202110",,
57,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"48","202204",,
58,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"49","202206",,
59,"22631",fG07wRWF4mw,GSEmLUnrvzj,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"40","202204",,
60,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"92","202111",,
61,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"120","202201",,
62,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"82","202207",,
63,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"120","202112",,
64,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"90","202201",,
65,"22631",fG07wRWF4mw,SJL4k6Gl53C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,SJL4k6Gl53C,MOH 731   On ART_<1       HV03-028,"2","202202",,
66,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"121","202204",,
67,"22631",fG07wRWF4mw,yNCUlEYkmyA,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"3100","202111",,
68,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"46","202112",,
69,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1358","202208",,
70,"22631",fG07wRWF4mw,GSEmLUnrvzj,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"41","202205",,
71,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"94","202110",,
72,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"89","202111",,
73,"22631",fG07wRWF4mw,e93GKJTHKAX,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"77","202208",,
74,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1330","202201",,
75,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"95","202201",,
76,"22631",fG07wRWF4mw,yNCUlEYkmyA,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"3077","202112",,
77,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"92","202202",,
78,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"89","202208",,
79,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1359","202207",,
80,"22631",fG07wRWF4mw,pR7VzBydoj3,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"1304","202110",,
81,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"130","202205",,
82,"22631",fG07wRWF4mw,wbJOu4h2SSz,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"66","202112",,
83,"22631",fG07wRWF4mw,e93GKJTHKAX,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"78","202201",,
84,"22631",fG07wRWF4mw,wbJOu4h2SSz,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"65","202204",,
85,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"91","202110",,
86,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"80","202208",,
87,"22631",fG07wRWF4mw,AQsTt7jtKbt,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"89","202202",,
88,"22631",fG07wRWF4mw,e93GKJTHKAX,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"75","202207",,
89,"22631",fG07wRWF4mw,SJL4k6Gl53C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,SJL4k6Gl53C,MOH 731   On ART_<1       HV03-028,"1","202206",,
90,"22631",fG07wRWF4mw,GSEmLUnrvzj,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"44","202112",,
91,"22631",fG07wRWF4mw,yNCUlEYkmyA,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"3147","202208",,
92,"22631",fG07wRWF4mw,Jbu4if6gtDp,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"47","202205",,
93,"22631",fG07wRWF4mw,SJL4k6Gl53C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,SJL4k6Gl53C,MOH 731   On ART_<1       HV03-028,"2","202201",,
94,"22631",fG07wRWF4mw,SJL4k6Gl53C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,SJL4k6Gl53C,MOH 731   On ART_<1       HV03-028,"1","202110",,
95,"22631",fG07wRWF4mw,EhZQp3PTA3C,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"119","202202",,
96,"22631",fG07wRWF4mw,oOOnacUi9Jm,"12438",Machakos Level 5 Hospital,"5",Machakos Central Ward,Machakos Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"92","202203",,
97,"22715",TJnBh1U3GEs,wbJOu4h2SSz,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"48","202112",,
98,"22715",TJnBh1U3GEs,e93GKJTHKAX,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"25","202208",,
99,"22715",TJnBh1U3GEs,wbJOu4h2SSz,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"47","202203",,
100,"22715",TJnBh1U3GEs,pR7VzBydoj3,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"886","202208",,
101,"22715",TJnBh1U3GEs,yNCUlEYkmyA,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"1782","202202",,
102,"22715",TJnBh1U3GEs,oOOnacUi9Jm,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"50","202205",,
103,"22715",TJnBh1U3GEs,yNCUlEYkmyA,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"1815","202205",,
104,"22715",TJnBh1U3GEs,oOOnacUi9Jm,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"51","202208",,
105,"22715",TJnBh1U3GEs,yNCUlEYkmyA,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"1760","202111",,
106,"22715",TJnBh1U3GEs,Jbu4if6gtDp,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"37","202207",,
107,"22715",TJnBh1U3GEs,EhZQp3PTA3C,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"49","202202",,
108,"22715",TJnBh1U3GEs,AQsTt7jtKbt,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"56","202208",,
109,"22715",TJnBh1U3GEs,Jbu4if6gtDp,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"39","202205",,
110,"22715",TJnBh1U3GEs,oOOnacUi9Jm,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"45","202112",,
111,"22715",TJnBh1U3GEs,e93GKJTHKAX,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"23","202112",,
112,"22715",TJnBh1U3GEs,GSEmLUnrvzj,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"40","202202",,
113,"22715",TJnBh1U3GEs,pR7VzBydoj3,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"838","202112",,
114,"22715",TJnBh1U3GEs,Jbu4if6gtDp,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"40","202202",,
115,"22715",TJnBh1U3GEs,AQsTt7jtKbt,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"55","202205",,
116,"22715",TJnBh1U3GEs,GSEmLUnrvzj,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"36","202208",,
117,"22715",TJnBh1U3GEs,yNCUlEYkmyA,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"1823","202207",,
118,"22715",TJnBh1U3GEs,GSEmLUnrvzj,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,"37","202205",,
119,"22715",TJnBh1U3GEs,AQsTt7jtKbt,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"55","202202",,
120,"22715",TJnBh1U3GEs,wbJOu4h2SSz,"15939",Khunyangu Sub County Hospital,"5",Kingandole Ward,Butula Sub County,Busia County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"47","202201",,
