orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitid,organisationunitname_pos,organisationunitcode_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,orgunitlevel1_tst,orgunitlevel2_tst,orgunitlevel3_tst,orgunitlevel4_tst,orgunitlevel5_tst,organisationunitname_tst,organisationunitcode_tst,organisationunitdescription,dataid_tst,dataname_tst,datacode_tst,Total_tst,difference
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,28,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,Njiru (EDARP) Clinic,17548,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-25
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,14,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,Njiru (EDARP) Clinic,17548,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-3
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,14,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,Njiru (EDARP) Clinic,17548,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-11
Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,Emmaus Clinic,A2m3Fgwhf2v,Emmaus Clinic,14443,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,2,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,Emmaus Clinic,Emmaus Clinic,14443,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,1,-1
Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,Emmaus Clinic,A2m3Fgwhf2v,Emmaus Clinic,14443,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,4,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,Emmaus Clinic,Emmaus Clinic,14443,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,1,-3
Kenya,Busia County,Matayos Sub County,Mayenje Ward,Buyosi Dispensary,A4jMayEW5Ak,Buyosi Dispensary,26025,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1,Kenya,Busia County,Matayos Sub County,Mayenje Ward,Buyosi Dispensary,Buyosi Dispensary,26025,,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,Y18_HV01-07,0,-1
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,du5RMT3aecB,MOH 731 Positive_1-9 HV01-17,Y18_HV01-17,1,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-1
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,xMNhnyu7vm1,MOH 731 Positive_15-19(F) HV01-11,Y22_HV01-11,1,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-1
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,7,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-4
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,7,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-7
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,2,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-2
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,22,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-19
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,22,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-22
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,22,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,19,-3
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-2
Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,A7oMr08DhJB,Nairobi South Clinic,13113,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5,Kenya,Nairobi County,Starehe Sub County,Nairobi South Ward,Nairobi South Clinic,Nairobi South Clinic,13113,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-5
Kenya,Nakuru County,Subukia Sub County,Waseges Ward,Simboiyon Dispensary,ACI6a4LUYnA,Simboiyon Dispensary,17988,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1,Kenya,Nakuru County,Subukia Sub County,Waseges Ward,Simboiyon Dispensary,Simboiyon Dispensary,17988,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,0,-1
Kenya,Nyamira County,Masaba North Sub County,Gesima Ward,Mosobeti Dispensary,AEMbTvt9mJT,Mosobeti Dispensary,18580,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Nyamira County,Masaba North Sub County,Gesima Ward,Mosobeti Dispensary,Mosobeti Dispensary,18580,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,1,-2
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),AHM06z0QKsS,St Joseph's Dispensary (Dagoretti),13210,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,5,Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),St Joseph's Dispensary (Dagoretti),13210,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,2,-3
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),AHM06z0QKsS,St Joseph's Dispensary (Dagoretti),13210,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,15,Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),St Joseph's Dispensary (Dagoretti),13210,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,2,-13
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),AHM06z0QKsS,St Joseph's Dispensary (Dagoretti),13210,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,15,Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),St Joseph's Dispensary (Dagoretti),13210,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,12,-3
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),AHM06z0QKsS,St Joseph's Dispensary (Dagoretti),13210,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9,Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),St Joseph's Dispensary (Dagoretti),13210,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,2,-7
Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,25,Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,Hope Compassionate (ACK) Dispensary,16983,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,7,-18
Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,25,Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,Hope Compassionate (ACK) Dispensary,16983,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,15,-10
Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,25,Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,Hope Compassionate (ACK) Dispensary,16983,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,17,-8
Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,AIYatK2Im6m,Dandora Medical Centre,18220,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,13,Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,Dandora Medical Centre,18220,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-12
Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,AIYatK2Im6m,Dandora Medical Centre,18220,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,13,Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,Dandora Medical Centre,18220,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,7,-6
Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,AIYatK2Im6m,Dandora Medical Centre,18220,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,4,Kenya,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,Dandora Medical Centre,Dandora Medical Centre,18220,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-3
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,1,-2
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-2
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,1,-2
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,1,-1
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-1
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,AKCk8JAY0dK,Kisembe Dispensary,20044,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Kisembe Dispensary,Kisembe Dispensary,20044,Dispesary,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,1,-1
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,5,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-2
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,5,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-2
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,23,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,19,-4
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,23,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-20
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,23,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-20
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,23,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,19,-4
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,12,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-9
Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,AKhVrrqumM6,Lusigetti sub-county hospital,10666,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,12,Kenya,Kiambu County,Kikuyu Sub County,Nachu Ward,Lusigetti sub-county hospital,Lusigetti sub-county hospital,10666,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-9
Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Mutithi Ward,Rukanga Health Centre,AOkTJh0nSFF,Rukanga Health Centre,10975,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Mutithi Ward,Rukanga Health Centre,Rukanga Health Centre,10975,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,4,-1
Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),13658,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,24,Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),Kauma Health Centre (Rachuonyo),13658,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,8,-16
Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),13658,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,24,Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),Kauma Health Centre (Rachuonyo),13658,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,23,-1
Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),13658,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,10,Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo West Ward,Kauma Health Centre (Rachuonyo),Kauma Health Centre (Rachuonyo),13658,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,8,-2
Kenya,Siaya County,Bondo Sub County,North Sakwa Ward,Gobei Health Centre,APRSsUJAVrP,Gobei Health Centre,13581,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,13,Kenya,Siaya County,Bondo Sub County,North Sakwa Ward,Gobei Health Centre,Gobei Health Centre,13581,"level 3 facilty in maranda division. By the road Bondo to Kisumu road,just 6 kms from Bondo Town.",lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-2
Kenya,Siaya County,Bondo Sub County,North Sakwa Ward,Gobei Health Centre,APRSsUJAVrP,Gobei Health Centre,13581,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,12,Kenya,Siaya County,Bondo Sub County,North Sakwa Ward,Gobei Health Centre,Gobei Health Centre,13581,"level 3 facilty in maranda division. By the road Bondo to Kisumu road,just 6 kms from Bondo Town.",lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-1
