organisationunitid,orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitname_pos,organisationunitcode_pos,organisationunitdescription_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,difference
jaCs4CR5ZDN,Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Algadir Centre Limited,Algadir Centre Limited,18009,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,146.0
tplYqAYx22z,Kenya,Kakamega County,Likuyani Sub County,Likuyani Ward,Aligula Dispensary,Aligula Dispensary,29766,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,29.0
K2dQyq9Y9XK,Kenya,Nakuru County,Nakuru East Sub County,Nakuru East Ward,Alphil Medical Centre,Alphil Medical Centre,23539,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,244.0
p88Dp0k1GH3,Kenya,Homa Bay County,Karachuonyo Sub County,West Karachuonyo Ward,Alum Beach Dispensary,Alum Beach Dispensary,13472,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,66.0
p7wCM1JfI5d,Kenya,Siaya County,Gem Sub County,South Gem Ward,Aluor Mission Health Centre,Aluor Mission Health Centre,13473,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,7.0,290.0
wmUX4Xf6mHU,Kenya,Busia County,Teso South Sub County,Ang'orom Ward,Alupe Sub County Referral Hospital,Alupe Sub County Referral Hospital,15795,"Situated along Busia-Malaba road,6 kms from Busia town",nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,778.0
cjPwf2Grgo9,Kenya,Kwale County,Msambweni Sub County,Kinondo Ward,Alwalidayn Dispensary,Alwalidayn Dispensary,22059,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,311.0
GnHBcfPYmFI,Kenya,Kiambu County,Thika Town Sub County,Kamenu Ward,Ama (Africa Muslim Agency) Clinic,Ama (Africa Muslim Agency) Clinic,10023,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,38.0
cPDS7MOxcm9,Kenya,Busia County,Teso South Sub County,Chakol South Ward,Amaase Dispensary,Amaase Dispensary,15797,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,274.0
IsYATTBPAtc,Kenya,Kisii County,Bonchari Sub County,Bomorenda Ward,Amani Medical Centre (Suneka),Amani Medical Centre (Suneka),13474,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,103.0
iAjhCmDER2e,Kenya,Trans Nzoia County,Kiminini Sub County,Waitaluk Ward,Ambassadors for Sustained Health Centre,Ambassadors for Sustained Health Centre,18751,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,8.0
QRZj3gcahYE,Kenya,Siaya County,Ugunja Sub County,Ugunja Ward,Ambira Sub-County Hospital,Ambira Sub-County Hospital,13476,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,14.0,1108.0
OWCVFvRnh9q,Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,Ammusait General Hospital,Ammusait General Hospital,25412,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,759.0
eX0spkg9csY,Kenya,Busia County,Teso South Sub County,Chakol South Ward,Among'ura Community Dispensary,Among'ura Community Dispensary,20170,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,222.0
dzlUVt1ajq1,Kenya,Homa Bay County,Ndhiwa Sub County,Kanyadoto Ward,Amoyo Dispensary,Amoyo Dispensary,16768,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,249.0
L9EJeHLBG1b,Kenya,Busia County,Teso South Sub County,Amukura East Ward,Amukura Health Centre,Amukura Health Centre,15798,Situated at Amukura market along Nambale-Malaba road about 0.5KM from Amukura junction,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,670.0
c5gNJhUz9rg,Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,Andersen Medical Centre,14203,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,407.0
m7VVNB6yflG,Kenya,Homa Bay County,Mbita Sub County,Kasgunga Ward,Ang'iya Health Centre,Ang'iya Health Centre,13479,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,85.0
dWATcMI6XJL,Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,Angaga Dispensary,17050,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,141.0
VRRLwQpnKfY,Kenya,Narok County,Transmara West Sub County,Angata Barikoi Ward,Angata Health Centre,Angata Health Centre,14205,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,489.0
allzILkIelH,Kenya,Busia County,Teso North Sub County,Ang'urai North Ward,Angurai Sub County Hospital,Angurai Sub County Hospital,15800,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,431.0
xaQ9Z2jrxRM,Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,Anjego Dispensary,13480,located in suba East division and its a GOK facility,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,155.0
ETYKLHaZtuG,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Annex Hospital (Nakuru),Annex Hospital (Nakuru),14207,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,309.0
L5rmXQQWAGD,Kenya,Meru County,Igembe Central Sub County,Igembe East Ward,Antubetwe Njoune Dispensary,Antubetwe Njoune Dispensary,17068,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,313.0
Tkgo1tPTOv2,Kenya,Siaya County,Bondo Sub County,South Sakwa Ward,Anyuongi Dispensary,Anyuongi Dispensary,13482,level 2 gok facility,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,87.0
tmOunpxPDt9,Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,AP Line Dispensary,15801,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,13.0,973.0
ScUEphF7XrR,Kenya,Busia County,Teso South Sub County,Amukura Central Ward,Apokor Dispensary,Apokor Dispensary,15802,Situated off Amukura-Nambale road about 2 KM from Simba Chai market,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,98.0
wP6cPKxmPwl,Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,Approved Dispensary,15804,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,412.0
yjdx3bVwjJP,Kenya,Machakos County,Machakos Sub County,Muvuti/Kiima-kimwe Ward,Approved School Dispensary (Machakos),Approved School Dispensary (Machakos),11932,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,394.0
eGSDTRaBYvN,Kenya,Nairobi County,Embakasi East Sub County,Mihango Ward,Aptc Health Centre,Aptc Health Centre,12871,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,7.0,349.0
qsTuae8V1vK,Kenya,Isiolo County,Isiolo Sub County,Burat Ward,APU Dispensary,APU Dispensary,11933,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,265.0
Ssbkr9jzWWk,Kenya,Samburu County,Samburu East Sub County,Waso Ward,Archers Post Health Centre,Archers Post Health Centre,14212,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,264.0
RMbgDUBLgFM,Kenya,Samburu County,Samburu East Sub County,Waso Ward,Archers Post Sub-County Hospital,Archers Post Sub-County Hospital,24233,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,241.0
kOFBpSMhe9h,Kenya,Kisumu County,Seme Sub County,West Seme Ward,Arito Langi Health Centre,Arito Langi Health Centre,13484,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,169.0
QiXeOXMmlX0,Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,12.0,509.0
c93Xc1VYJfv,Kenya,Bomet County,Sotik Sub County,Rongena/Manaret Ward,Arroket Dispensary,Arroket Dispensary,14215,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,13.0
jyOyZUU0qJT,Kenya,Elgeyo Marakwet County,Marakwet West Sub County,Arror Ward,Arror Health Centre,Arror Health Centre,14216,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,191.0
Ygb7V9pnRo6,Kenya,Trans Nzoia County,Cherangany Sub County,Sinyerere Ward,Aruba Dispensary,Aruba Dispensary,22594,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,107.0
GiQGODA5NZB,Kenya,Kisumu County,Seme Sub County,Central Seme Ward,Asat Beach Dispensary,Asat Beach Dispensary,13487,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,60.0
uYsMyJiKEjP,Kenya,Siaya County,Gem Sub County,North Gem Ward,Asayi Dispensary,Asayi Dispensary,16783,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,74.0
GqpnFjeQXTM,Kenya,Siaya County,Alego Usonga Sub County,South East Alego Ward,Ashburn Ohuru Nursing Home,Ashburn Ohuru Nursing Home,17524,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,53.0
FPGtNGfdSlZ,Kenya,Homa Bay County,Rangwe Sub County,East Gem Ward,Asumbi Mission Hospital,Asumbi Mission Hospital,13488,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,626.0
mubdg2NphtL,Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kabondo East Ward,Atela Health Centre,Atela Health Centre,18610,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,161.0
bxtsV3tmxZi,Kenya,Homa Bay County,Kabondo Kasipul Sub County,Kojwach Ward,Atemo Health Centre,Atemo Health Centre,13489,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,64.0
u8TCfCqeQpJ,Kenya,Makueni County,Kibwezi East Sub County,Mtito Andei Ward,Athi Kamunyuni Health Centre,Athi Kamunyuni Health Centre,11934,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,206.0
rtOVeE98u6G,Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athi River Medical Services,Athi River Medical Services,11937,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,482.0
ISsRMwepdm7,Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Awasi Mission Health Center,Awasi Mission Health Center,13491,Health center,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,14.0,377.0
ZBtoRProc6e,Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,Awendo Sub County Hospital,13492,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,843.0
CXAJP0JoCDZ,Kenya,Nyandarua County,Ndaragwa Sub County,Kiritta Ward,Baari Health Centre,Baari Health Centre,10043,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,380.0
CzGqegvtcf5,Kenya,Nairobi County,Ruaraka Sub County,Babandogo Ward,Babadogo (EDARP),Babadogo (EDARP),12875,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,653.0
obSn4iRC7wn,Kenya,Nairobi County,Ruaraka Sub County,Babandogo Ward,Babadogo Health Centre,Babadogo Health Centre,12876,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,35.0,1830.0
FQ5zXuSdUbx,Kenya,Nakuru County,Njoro Sub County,Lare Ward,Bagaria Dispensary,Bagaria Dispensary,14222,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,52.0
X7szCNmxLXn,Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,Bahai Dispensary,17190,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,378.0
hHFDDKwv5UN,Kenya,Nakuru County,Nakuru North Sub County,Bahati Ward,Bahati Dispensary,Bahati Dispensary,14223,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,472.0
cQa0PvCvbxM,Kenya,Nakuru County,Nakuru North Sub County,Bahati Ward,Bahati District Hospital,Bahati District Hospital,14224,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,1072.0
emnI9dqORPt,Kenya,Nairobi County,Makadara Sub County,Maringo/Hamza Ward,Bahati Health Centre,Bahati Health Centre,12879,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,24.0,1372.0
TZIZf95N8SM,Kenya,Nairobi County,Embakasi South Sub County,Kware Ward,Baldo Ippolita (Catholic) Health Centre,Baldo Ippolita (Catholic) Health Centre,24270,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,56.0
fKyaQ2gLYDS,Kenya,Marsabit County,North Horr Sub County,Dukana Ward,Balesa Dispensary,Balesa Dispensary,11941,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,104.0
kZP86ulsOJr,Kenya,Siaya County,Alego Usonga Sub County,Siaya Township Ward,Bama Hospital,Bama Hospital,13493,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,26.0
E7liN0388Dd,Kenya,Kilifi County,Ganze Sub County,Bamba Ward,Bamba Maternity Nursing Home,Bamba Maternity Nursing Home,11238,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,117.0
UvWDhQlknid,Kenya,Kilifi County,Ganze Sub County,Bamba Ward,Bamba Sub County Hospital,Bamba Sub County Hospital,11237,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,858.0
IKdUHYliWr5,Kenya,Nyandarua County,Kinangop Sub County,Magumu Ward,Bamboo Health Centre,Bamboo Health Centre,10044,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,11.0,1041.0
dO93Ue6OwRr,Kenya,Mombasa County,Nyali Sub County,Kadzandani Ward,Bamburi Dispensary,Bamburi Dispensary,11239,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,18.0,1182.0
hLMDMOsAv6Y,Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,Bande Dispensary,13494,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,71.0
wPX0yiOC6WV,Kenya,Nakuru County,Rongai Sub County,Soin Ward,Banita Dispensary,Banita Dispensary,14226,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,123.0
oYc9S0YvbLH,Kenya,Vihiga County,Hamisi Sub County,Banja Ward,Banja Health Centre,Banja Health Centre,15805,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,238.0
RrxywQuOoio,Kenya,Kilifi County,Malindi Sub County,Jilore Ward,Baolala Dispensary,Baolala Dispensary,11244,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,430.0
DqwooToZ1N9,Kenya,Siaya County,Ugenya Sub County,West Ugenya Ward,Bar Achuth Dispensary,Bar Achuth Dispensary,13495,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,137.0
gFFdF6hGiFe,Kenya,Siaya County,Alego Usonga Sub County,South East Alego Ward,Bar Agulu Dispensary,Bar Agulu Dispensary,13496,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,5.0,99.0
yonouRgu7l7,Kenya,Siaya County,Rarieda Sub County,West Asembo Ward,Bar Aluru Dispensary (Rarieda),Bar Aluru Dispensary (Rarieda),13497,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,109.0
lq9mb305HDu,Kenya,Kisumu County,Seme Sub County,North Seme Ward,Bar Korwa Health Centre,Bar Korwa Health Centre,13498,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,95.0
bhfD7RGs2gk,Kenya,Siaya County,Ugenya Sub County,East Ugenya Ward,Bar Ndege Dispensary,Bar Ndege Dispensary,16784,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,340.0
sK3DDy5tVCy,Kenya,Siaya County,Alego Usonga Sub County,South East Alego Ward,Bar Olengo Dispensary,Bar Olengo Dispensary,13499,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,99.0
ZL7FkyG3uwc,Kenya,Siaya County,Gem Sub County,Yala Township Ward,Bar Sauri Health Centre,Bar Sauri Health Centre,16785,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,71.0
wZUrNTrCEWz,Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,126.0
SN4yXEHo6t7,Kenya,Laikipia County,Laikipia East Sub County,Thingithu Ward,Baraka Dispensary,Baraka Dispensary,22524,Tier 2,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,58.0
tBD7EcDrqR8,Kenya,Nairobi County,Ruaraka Sub County,Utalii Ward,Baraka Dispensary (Nairobi),Baraka Dispensary (Nairobi),12881,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,168.0
wLm7XgmJoKw,Kenya,Narok County,Narok West Sub County,Mara Ward,Baraka Hospital,Baraka Hospital,17757,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,324.0
jetCZf5Uzd1,Kenya,Siaya County,Alego Usonga Sub County,South East Alego Ward,Barding Dispensary,Barding Dispensary,18396,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,90.0
yQujnfNnzQJ,Kenya,Kirinyaga County,Kirinyaga West Sub County,Mukure Ward,Baricho Health Centre,Baricho Health Centre,10049,Baricho market-off Kerugoya/Baricho/Kagio road,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,335.0
NcCkDlIqJuM,Kenya,Baringo County,Baringo Central Sub County,Kabarnet Ward,Baringo County Referral Hospital,Baringo County Referral Hospital,14607,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,13.0,1309.0
wMXVqPMsRUD,Kenya,Uasin Gishu County,Soy Sub County,Segeroi/Barsombe Ward,Barsombe Dispensary,Barsombe Dispensary,14239,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,99.0
icSyYdS2PaS,Kenya,Nakuru County,Nakuru West Sub County,Barut Ward,Barut Dispensary,Barut Dispensary,17793,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,53.0
