facility,ward,subcounty,county,MOH_UID,MOH_Indicator_ID,MOH_Indicator_Name,khis_data
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,9
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,12
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,152
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,SJL4k6Gl53C,MOH 731 On ART_<1 HV03-028,1
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,13
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,441
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,19
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,17
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,33
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,26
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,12
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,18
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,412
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,17
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,A1LHwsmDMUX,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,913
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,1
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,1
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,9
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,3
Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,A2vpkzQnTO0,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,25
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,8
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,2
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,4
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,2
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,3
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,22
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,2
Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,a4s2wKfJc30,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,83
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,A61AJGaCQRl,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,A61AJGaCQRl,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,5
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,A61AJGaCQRl,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,3
Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,A61AJGaCQRl,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,15
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,2
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,12
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,74
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,8
Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,a6KR1c7QXeL,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,214
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,34
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,8
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,47
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,39
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,21
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,19
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,400
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,45
Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,a6ZP7RjG0JA,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,837
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,A7oMr08DhJB,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,A7oMr08DhJB,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,5
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,A7oMr08DhJB,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,18
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,A7oMr08DhJB,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,4
Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,A7oMr08DhJB,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,62
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,5
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,3
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,5
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,52
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,7
Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,a7wnPPpUHuA,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,130
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,3
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,2
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,3
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,22
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,4
Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,A9FAQoB1Siq,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,74
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,1
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,16
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,5
Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,a9OHUtkxjO8,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,32
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,57
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,22
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,50
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,35
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,34
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,38
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,516
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,45
Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,aA0u9LbIY9e,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,1298
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,Aa4MetEuYbi,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,Aa4MetEuYbi,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,9
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,Aa4MetEuYbi,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,13
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,Aa4MetEuYbi,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,10
Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,aA66k9wpWlD,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,2
Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,aA66k9wpWlD,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,5
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,2
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,3
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,10
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,4
Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,aABRCk8mJeG,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,15
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,4
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,9
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,6
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,1
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,52
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,7
Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,AagM6cS5ef7,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,107
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,41
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,22
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,51
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,25
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,26
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,38
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,389
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,30
AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,AawtXdUefwb,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,859
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,AbSJUr5oge2,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,13
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,AbSJUr5oge2,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,6
Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,AbSJUr5oge2,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,19
