id,organisationunitid,MOH_FacilityID,uid,mflcode,facility,level,ward,subcounty,county,MOH_IndicatorCode,inndicator,Value,Period,created_at,updated_at
31589,34997,SuTFIa79qA7,pR7VzBydoj3,10924,Outspan Hospital,5,Kamakwa/Mukaro Ward,Nyeri Central Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,131,202110,,
31620,35041,PjOTQQUb94v,pR7VzBydoj3,11161,Wamagana Health Centre,5,Wamagana Ward,Tetu Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,116,202110,,
34259,55545,W3TSKRwkyvs,pR7VzBydoj3,17345,Ndege Oriedo Dispensary,5,East Kamagambo Ward,Rongo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,12,202110,,
35058,51490591,ZxtXqRoon59,pR7VzBydoj3,23198,Kianungu Dispensary,5,Magombo Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
35188,22692,mZ5dBUXvXqh,pR7VzBydoj3,13514,Bosiango Health Centre,5,Bogichora Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,40,202110,,
35677,31672,XKVPZ47BC5b,pR7VzBydoj3,14151,Tombe Health Centre,5,Manga Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,70,202110,,
35947,32325,sDgMJ46sG5P,pR7VzBydoj3,16721,Mogori-Komasimo Health Centre,5,Masaba Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,31,202110,,
36001,32390,G4FemD36hGF,pR7VzBydoj3,13996,Osingo Dispensary,5,God Jope Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,99,202110,,
36042,32406,sJHMc412zV6,pR7VzBydoj3,16278,Thim Lich Dispensary,5,North Kadem Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,94,202110,,
36050,32424,aWpElDmioIw,pR7VzBydoj3,13724,Kuja Dispensary,5,North Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,83,202110,,
36154,32504,eWl04gJBWM3,pR7VzBydoj3,13895,Nyamakoroto Dispensary,5,Gesima Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,28,202110,,
36699,34800,eQ411WldmOy,pR7VzBydoj3,11124,Tumutumu (PCEA) Hospital,5,Kirimukuyu Ward,Mathira West Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,472,202110,,
36754,34996,AoO1uzcsLs0,pR7VzBydoj3,10922,Othaya Sub County Hospital,5,Iria-ini Ward,Nyeri South Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,397,202110,,
39741,3401658,SeESskkpdVb,pR7VzBydoj3,20620,Ramba Health Centre,5,Bogichora Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
39833,6479720,jQdsHCYoJ03,pR7VzBydoj3,20294,Kiamanyomba dispensary,5,Magwagwa Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
39937,10748106,tT2QKeVtwos,pR7VzBydoj3,20291,Rianyambweke Dispensary,5,Bomwagamo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
40342,23320,kB3a5DNtVlu,pR7VzBydoj3,13826,Motontera Dispensary,5,Nyamaiya Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
40376,23325,HjL1sFQUDS0,pR7VzBydoj3,13911,Nyamira Adventist Health Centre,5,Township Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,40,202110,,
40405,23331,KdMmUqXo3ZA,pR7VzBydoj3,13964,Ogango Health Centre,5,Bogichora Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,60,202110,,
40448,23334,te66tg4yn7z,pR7VzBydoj3,16981,Riakinaro Health Centre,5,Bonyamatuta Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,14,202110,,
40474,23341,tU8NI8ktS8x,pR7VzBydoj3,14146,Tinga Health Centre,5,Bosamaro Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,124,202110,,
40657,31658,FcIvchcbwUH,pR7VzBydoj3,17134,Magombo Community Dispensary,5,Magombo Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,7,202110,,
41098,32497,zwIF2bQgFlO,pR7VzBydoj3,13746,Machururiati Dispensary,5,Gesima Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,23,202110,,
41187,32506,SlWsYkPHSxs,pR7VzBydoj3,13917,Nyanchonori Dispensary,5,Rigoma Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,19,202110,,
44312,81438,xziIZlvxiIS,pR7VzBydoj3,18013,Ruguru Health Centre,5,Ruguru Ward,Mathira West Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
44440,191939,qaTjMQMpHPq,pR7VzBydoj3,13811,Miriri Dispensary,5,Gachuba Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,8,202110,,
45499,23298,ZQT01wKQqiS,pR7VzBydoj3,13544,Endiba Health Centre,5,Kiabonyoru Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,32,202110,,
45621,23708,kVVmxGZKCfA,pR7VzBydoj3,13526,Chinato Health Centre,5,Nyabasi West Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,29,202110,,
46844,32315,gFC5kCFDDqG,pR7VzBydoj3,13625,Isibania Sub-District Hospital,5,Isibania Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,166,202110,,
47169,32434,FpS8TixqWn4,pR7VzBydoj3,17039,Ombo Kowiti Dispensary,5,Central Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,61,202110,,
47265,32487,SLYEU6SItMd,pR7VzBydoj3,13559,Gesima Health Centre,5,Gesima Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,79,202110,,
47290,32491,IrAwqGGDUVy,pR7VzBydoj3,13575,Girango Dispensary,5,Gachuba Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,15,202110,,
50529,23297,oPB35EIF6o3,pR7VzBydoj3,13525,Chaina Dispensary,5,Itibo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,5,202110,,
50613,23312,KIcB1UkdXXb,pR7VzBydoj3,13676,Kenyoro Health Centre,5,Itibo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,55,202110,,
50634,23328,pfefIJMcoRj,pR7VzBydoj3,16988,Nyangweta Health Centre,5,Bosamaro Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,32,202110,,
50714,23718,mr3btxzpInp,pR7VzBydoj3,13758,Makararangwe Dispensary,5,Ntimaru West Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
52226,32346,xaQ9Z2jrxRM,pR7VzBydoj3,13480,Anjego Dispensary,5,Kakrao Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,76,202110,,
52376,32399,jC5xoC8BnPT,pR7VzBydoj3,14102,St Barnabas Dispensary,5,Ragana-oruba Ward,Suna West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,211,202110,,
52429,32404,hcF52HKSsCR,pR7VzBydoj3,14135,Suna Rabuor Dispensary,5,Kwa Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,99,202110,,
52521,32430,XWycxNbm28F,pR7VzBydoj3,13853,Ngodhe Dispensary,5,East Kamagambo Ward,Rongo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,144,202110,,
52601,32439,HIbQsMgPQm0,pR7VzBydoj3,14003,Othoro Sub County Hospital,5,North Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,269,202110,,
52631,32468,r003lM7ULWV,pR7VzBydoj3,13800,Mecheo Dispensary,5,Esise Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,18,202110,,
52776,32511,QXgTPS1Ym77,pR7VzBydoj3,14051,Rigoma Dispensary,5,Rigoma Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,43,202110,,
55492,23054,d9MqCk2B3Gs,pR7VzBydoj3,13551,Etono Health Centre,5,Bomwagamo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,31,202110,,
57053,32331,hHb5SzuuyHK,pR7VzBydoj3,13862,Nyabokarange Dispensary,5,Bukira Central/Ikerege Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,9,202110,,
57077,32347,QiXeOXMmlX0,pR7VzBydoj3,13486,Arombe Dispensary,5,Wiga Ward,Suna West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,259,202110,,
57120,32352,Dp9uga9zfqH,pR7VzBydoj3,13583,God Kwer Dispensary,5,Wiga Ward,Suna West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,228,202110,,
57162,32353,WDe0umtdbif,pR7VzBydoj3,13639,Kabuto Dispensary,5,North Kadem Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,98,202110,,
57261,32423,iX9MCYrhHOP,pR7VzBydoj3,17038,Koloo Dispensary,5,North Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,85,202110,,
57413,32484,YFxkxX3dyJ0,pR7VzBydoj3,13548,Esani Sub-District Hospital,5,Gesima Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,54,202110,,
59518,54265,shH3wN0yTJZ,pR7VzBydoj3,17232,Kerobo Health Centre,5,Bomwagamo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,28,202110,,
61860,32409,UY3IInX1rgt,pR7VzBydoj3,16279,Yago Dispensary,5,Got Kachola Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,10,202110,,
61979,32461,sDUKRZ8adP3,pR7VzBydoj3,16868,Kerumbe Dispensary,5,Mekenene Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,13,202110,,
62021,32475,OHZYEciQDBh,pR7VzBydoj3,13936,St Joseph's Nyansiongo Health Centre,5,Nyansiongo Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,38,202110,,
65968,31652,FRCpdcj6qow,pR7VzBydoj3,13557,Gekano Health Centre,5,Magombo Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,10,202110,,
66007,31656,atumVmDAZzs,pR7VzBydoj3,13666,Kemera (SDA) Dispensary,5,Kamera Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,24,202110,,
66878,32396,NpKmhJBECVb,pR7VzBydoj3,14069,Saro Dispensary,5,Kakrao Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,193,202110,,
66963,32421,naa6PTuNZM4,pR7VzBydoj3,13635,Jevros Clinic,5,North Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,50,202110,,
70202,176544,EVeWGkaFwhO,pR7VzBydoj3,18576,Mong'oni Dispensary,5,Rigoma Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,6,202110,,
71960,32420,WG7O02P8x4T,pR7VzBydoj3,13532,Dede Health Centre,5,West Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,332,202110,,
71993,32432,WlgH5Q5Y6kZ,pR7VzBydoj3,13885,Nyakuru Dispensary,5,North Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,115,202110,,
72733,34722,GWyiedUwAyx,pR7VzBydoj3,10360,Itiati Dispensary,5,Ruguru Ward,Mathira West Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,16,202110,,
75204,103761,g2rsmbgrpOJ,pR7VzBydoj3,17730,Ensakia Dispensary,5,Esise Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
75546,23333,gAm0OAuvKMF,pR7VzBydoj3,14034,Rangenyo Health Centre,5,Nyamaiya Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,8,202110,,
75961,31654,TjAizB1Q3zr,pR7VzBydoj3,13566,Getare Health Centre,5,Kamera Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,69,202110,,
76827,32335,kmEXAwkvnDQ,pR7VzBydoj3,13927,Nyangoge Health Centre,5,Tagare Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,26,202110,,
76964,32441,EVf9vo84kFZ,pR7VzBydoj3,14009,Oyani Sub County Hospital,5,East Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,249,202110,,
77006,32457,KYc50Vep5A8,pR7VzBydoj3,13547,Eronge Health Centre,5,Esise Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
77695,34866,suwoJuHlA2b,pR7VzBydoj3,10251,Gichira Health Centre,5,Aguthi-gaaki Ward,Tetu Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,94,202110,,
79978,56436,xcX8ftmXBDI,pR7VzBydoj3,17678,Rikenye Dispensary (Masaba),5,Rigoma Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,17,202110,,
82009,32448,DDiNOmleakD,pR7VzBydoj3,17051,Siruti Dispensary,5,West Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,48,202110,,
82686,34776,t0urLsXfeXM,pR7VzBydoj3,16816,Narumoru Catholic Dispensary,5,Naromoru/Kiamathaga Ward,Kieni East Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,90,202110,,
85653,23709,dX5ndMsjIkG,pR7VzBydoj3,13556,Gairoro Dispensary,5,Ntimaru West Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,2,202110,,
85660,23717,SZnkrFoimi2,pR7VzBydoj3,13723,Kugitimo Health Centre,5,Nyabasi East Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
86834,32309,BSIVRetkq9o,pR7VzBydoj3,13569,Getongoroma Dispensary,5,Nyanmosense/Komosoko Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,11,202110,,
86845,32334,Sv7XZqXiyCP,pR7VzBydoj3,13909,Nyametaburo Health Centre,5,Mokerero Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,14,202110,,
86921,32427,LGgFPRuWpws,pR7VzBydoj3,13778,Mariwa Health Centre,5,South Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,214,202110,,
86935,32435,pS72TtLnCvM,pR7VzBydoj3,13988,Ongito Dispensary,5,North Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,87,202110,,
86953,32436,ImG6wgclN06,pR7VzBydoj3,13989,Ongo Sub County Hospital,5,South Kamagambo Ward,Rongo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,254,202110,,
87051,32462,toOGtwnm0oz,pR7VzBydoj3,13692,Kijauri Sub County Hospital,5,Nyansiongo Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,131,202110,,
87733,34870,yfWjbUihHoJ,pR7VzBydoj3,10286,GK Prison Dispensary (Kingongo),5,Rware Ward,Nyeri Central Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,78,202110,,
90623,23318,IbIpYe5FyiE,pR7VzBydoj3,13820,Mokomoni Health Centre,5,Kiabonyoru Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,36,202110,,
90654,23335,YiIhC0XhFIq,pR7VzBydoj3,14048,Riechieri Health Centre,5,Ekerenyo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,41,202110,,
90989,31657,BpQOavntuoE,pR7VzBydoj3,13684,Kiangoso Health Centre,5,Kamera Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,32,202110,,
92073,32336,JsvfJlCCwqJ,pR7VzBydoj3,13941,Nyasese Dispensary,5,Mokerero Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
